OBJECTID,STATEFP10,COUNTYFP10,MPOCE10,TADCE10,TAZCE10,GEOID10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,aggregationMethod,HasData,ORIGINAL_OID,sourceCountry,householdincome_avghinc_cy,householdtotals_tothh_cy,vehiclesavailable_acsaggveh,populationtotals_dpop_cy,populationtotals_dpopwrk_cy,populationtotals_dpopres_cy,populationtotals_dpopdenscy,industry_unemprt_cy,vehiclesavailable_acsavgveh,Shape_Area_sqmi,Shape_Area_sqmi1,aggregationMethod_1,HasData_1,ORIGINAL_OID_1,sourceCountry_1,atrisk_acshhbpov,atrisk_acshhbpov_p,aggregationMethod_12,HasData_12,ORIGINAL_OID_12,sourceCountry_12,populationtotals_totpop_cy,total_population_density,aggregationMethod_12_13,HasData_12_13,ORIGINAL_OID_12_13,sourceCountry_12_13,householdincome_medhinc_cy,householdincome_medhinc_cy_i,Shape_Length,Shape_Area
1,47,065,47197703,00000050,00001530,4706500001530,G6320,S,1471114,0,+35.0712368,-085.1836969,,,,,44245,50,131,1800,1733,67,3169,3.2,2,0.56799803,0.56799803,BlockApportionment:US.BlockGroups,1,1,US,14,21.21,BlockApportionment:US.BlockGroups,1,1,US,127,873555.5297,BlockApportionment:US.BlockGroups,1,1,US,30290,50,0.066397817,0.000145383
2,47,065,47197703,00000030,00001540,4706500001540,G6320,S,941730,0,+35.0739529,-085.2034611,,,,,45100,66,71,1047,958,89,2879.5,1.6,1.4,0.363602172,0.363602172,BlockApportionment:US.BlockGroups,1,2,US,14,28,BlockApportionment:US.BlockGroups,1,2,US,149,1600955.384,BlockApportionment:US.BlockGroups,1,2,US,37570,62,0.054137066,9.30694E-05
3,47,065,47197703,00000030,00001350,4706500001350,G6320,S,3162961,0,+35.0598564,-085.2089794,,,,,44806,273,291,1937,1527,410,1586.1,0.7,1.4,1.221222338,1.221222338,BlockApportionment:US.BlockGroups,1,3,US,56,27.32,BlockApportionment:US.BlockGroups,1,3,US,682,2182140.542,BlockApportionment:US.BlockGroups,1,3,US,37659,62,0.098664873,0.000312537
4,47,065,47197703,00000030,00001510,4706500001510,G6320,S,513656,0,+35.0583981,-085.1952735,,,,,0,0,0,1338,1338,0,6747.4,0,0,0.198323024,0.198323024,BlockApportionment:US.BlockGroups,1,4,US,0,0,BlockApportionment:US.BlockGroups,1,4,US,0,0,BlockApportionment:US.BlockGroups,1,4,US,0,0,0.032899034,5.07543E-05
5,47,065,47197703,00000030,00001360,4706500001360,G6320,S,2591809,0,+35.0479046,-085.1971298,,,,,46752,105,77,2111,1949,162,2109.5,3.1,1.5,1.000698415,1.000698415,BlockApportionment:US.BlockGroups,1,5,US,6,11.76,BlockApportionment:US.BlockGroups,1,5,US,316,1234068.795,BlockApportionment:US.BlockGroups,1,5,US,37141,61,0.07989726,0.000256064
6,47,065,47197703,00000080,00000640,4706500000640,G6320,S,7803817,2043456,+35.0498684,-085.3343946,,,,,65534,207,537,1728,1523,205,454.5,4.1,1.6,3.802037996,3.802037996,BlockApportionment:US.BlockGroups,1,6,US,43,12.95,BlockApportionment:US.BlockGroups,1,6,US,504,518039.7723,BlockApportionment:US.BlockGroups,1,6,US,47411,78,0.210507255,0.000972898
7,47,065,47197703,00000010,00000130,4706500000130,G6320,S,1104888,624987,+35.0332174,-085.3239202,,,,,0,0,0,1263,1263,0,1891,0,0,0.667905139,0.667905139,BlockApportionment:US.BlockGroups,1,7,US,0,0,BlockApportionment:US.BlockGroups,1,7,US,0,0,BlockApportionment:US.BlockGroups,1,7,US,0,0,0.088554535,0.000170884
8,47,065,47197703,00000020,00000370,4706500000370,G6320,S,1790532,0,+35.0252960,-085.3161659,,,,,14518,187,0,1114,901,213,1611.5,0,0,0.691325746,0.691325746,BlockApportionment:US.BlockGroups,1,8,US,139,67.15,BlockApportionment:US.BlockGroups,1,8,US,321,1815080.121,BlockApportionment:US.BlockGroups,1,8,US,10389,17,0.077205078,0.000176852
9,47,065,47197703,00000020,00000870,4706500000870,G6320,S,2153492,0,+35.0064296,-085.3354165,,,,,57862,156,217,972,811,161,1169,1.1,1.7,0.831463403,0.831463403,BlockApportionment:US.BlockGroups,1,9,US,16,12.4,BlockApportionment:US.BlockGroups,1,9,US,342,1608254.771,BlockApportionment:US.BlockGroups,1,9,US,46820,77,0.094794018,0.000212653
10,47,065,47197703,00000020,00000920,4706500000920,G6320,S,1800967,0,+35.0175822,-085.3178155,,,,,22444,67,79,1403,1271,132,2017.5,1.5,1.2,0.695353938,0.695353938,BlockApportionment:US.BlockGroups,1,10,US,30,44.78,BlockApportionment:US.BlockGroups,1,10,US,200,1124443.949,BlockApportionment:US.BlockGroups,1,10,US,15753,26,0.065672783,0.000177866
