2019 Unemployed Population 16+: Percent,2014-2018 ACS Average Number of Vehicles,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,2019 Median Household Income,Household_Density,Day_Pop_Density,Undeveloped_Sq_Meters,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,PrimaryLengthMeters,SecondaryLengthMeters,TertiaryLengthMeters,WalkingLengthMeters,Pri_LengthMetersHalf,Ridership
0,0,0,0,0,1380.531093,,,1020,5520,12210,,3004.823393,,388.0008419,,334.3298213,33.96416204,388.0008419,464
0,0,0,0,0,0,,8520,2910,1050,,,,,143.5701501,,543.7488085,,143.5701501,464
0,0,0,0,0,0,,480,930,480,,,,,,,463.7106166,,,464
0,0,0,0,0,0,71310,166080,10110,9300,9360,,,1332.527022,,,1293.850871,436.1561874,,464
0,0,0,0,0,0,,540,6300,510,,,,,,,550.7289964,,,466
0,0,0,0,0,0,,,720,,,,,,,,191.3231424,,,464
0,0,0,172075,87.98980431,162.4427156,273240,87660,13020,8670,,6689.845319,362.331669,,,,2342.80793,,,464
0,0,0,0,0,0,,,300,2220,5670,,5364.534821,,21.08355066,,337.9323267,,21.08355066,464
0,0,0,0,0,11148.0958,,,,1200,10920,,4123.634759,,158.1494449,,452.1886775,,158.1494449,464
0,0,0,0,0,61406.49085,,,360,3840,14400,,8333.684705,,,310.5059729,268.1499793,84.33697914,,464
0,0,0,0,0,22018.38861,,,,9540,4020,,1863.204495,,,224.5886665,371.1324275,,,464
0,0,0,0,0,0,,,,720,180,,,,314.4014243,69.61228132,,159.9532442,314.4014243,464
0,0,0,0,42.88467628,7933.665111,,5520,18840,29430,6630,359.0218617,6814.664399,,642.9658948,,442.7983826,,642.9658948,464
0,0,0,0,0,6319.563406,,,,3210,18630,,2671.218074,,159.704953,,400.4874617,67.28113385,159.704953,464
0,0,0,0,0,3380.143891,,,,30,8340,,1765.777856,,241.465832,151.5871379,127.3854431,,241.465832,466
0,0,0,0,0,2448.837065,,,,210,8250,,2269.873167,,177.8686953,329.2617942,101.1943642,,177.8686953,464
0,0,0,0,0,34387.52074,,540,1500,4500,10140,,3047.236079,,482.7155499,,340.8899252,,482.7155499,464
0,0,0,0,0,77931.33402,,,,1950,36030,,16683.24998,,,,636.727737,,,464
0,0,0,0,0,0,10530,10590,15090,2910,,,,,,118.1550987,,,,464
0,0,0,0,0,0,,,11580,3690,,,,64.27628733,,232.3060662,237.0823046,,,464
0,0,0,0,0,1876.330278,,,2520,7140,,,920.7294142,,,,407.7282501,,,463
0,0,0,0,0,1938.802548,50970,55890,52470,57990,43050,,24760.05513,1013.498852,1932.334503,,,,1932.334503,465
0,0,0,0,0,6194.918343,,,,3180,4710,,1959.606892,,,125.8270346,464.1477035,,,466
0,0,0,0,0,0,,,150,3540,1620,,,,62.0034864,57.06829704,,,62.0034864,466
0,0,0,0,0,737.2991166,,,,1080,12960,,1589.019536,,207.4788858,,513.8973813,,207.4788858,464
0,0,0,0,0,1205.361568,117570,65580,85710,69840,54780,,30759.63475,,,,960.0845267,,,464
0,0,0,0,0,0,,,1350,4290,2280,,,,1256.979235,,67.73328365,,1256.979235,472
0,0,0,0,0,0,60,720,3480,360,,,,,,,,,,464
0,0,0,0,0,5326.181875,,,,1290,5520,,1135.246379,,207.4788858,,213.8393752,,207.4788858,473
0,0,0,0,0,0,,92160,2280,90,,,,,44.87625829,,826.6626667,1247.985281,44.87625829,463
0,0,0,0,0,1459.402947,,,990,6120,,180.80172,1304.193492,,,,381.5290346,,,462
0,0,0,0,0,0,,420,7260,1200,,,,,815.5663011,,,,815.5663011,464
0,0,0,0,0,0,,,2640,5430,90,,145.9396052,,503.344456,,137.1647121,,503.344456,464
0,0,0,0,0,0,,,3000,4680,,,1050.602409,,,,416.7744652,,,464
0,0,0,0,0,0,17880,360,1080,960,,,616.2622685,,,,,,,464
0,0,0,0,0,0,,,150,180,,,,,193.3839296,,69.4025189,,193.3839296,493
0,0,0,0,0,7104.443734,,,,2640,4260,,2902.548741,,183.3546011,,219.5723479,,183.3546011,464
0,0,0,0,0,0,,,1290,1560,600,,,,956.901764,,,,956.901764,464
