2019 Daytime Pop Density,2019 Unemployment Rate,ACS Average Number of Vehicles,ACS HHs: Inc Below Poverty Level: Percent,2019 Median Household Income,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,Undeveloped_Sq_Meters,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Household_Density,PrimaryLengthMeters,Pri_LengthMeters_Half,SecondaryLengthMeters,TeriaryLengthMeters,WalkLengthMeters,Ridership
3169,3.2,2,21.21,30290,8689.422468,105205.0769,68741.6774,114300,314100,364500,375300,303300,88.03903456,1265.984988,632.9924942,3114.087406,5588.010928,,0
2879.5,1.6,1.4,28,37570,7275.785398,105113.3044,31110.97836,6300,184500,296100,286200,172800,181.5414356,6032.814953,3016.407476,1905.037984,4598.849581,,3
1586.1,0.7,1.4,27.32,37659,11744.54089,101949.9228,3459.248985,834300,525600,731700,677700,396900,223.5774774,1474.306623,737.1533117,1740.914484,8698.90423,,4
6747.4,0,0,0,0,0,105750.3504,0,900,26100,93600,198000,194400,0,3594.78086,1797.39043,1238.376773,1270.922402,,2
2109.5,3.1,1.5,11.76,37141,15653.07159,216725.2135,33787.68041,287100,295200,493200,690300,825300,104.9403233,3866.632546,1933.316273,4054.436198,9100.261039,,5
454.5,4.1,1.6,12.95,47411,15726.34495,113117.2565,23054.05884,6741000,1462500,830700,582300,225900,54.45689837,3628.426881,1928.615622,5559.706973,11056.89854,2534.13533,0
1891,0,0,0,0,0,199759.2092,122.3262208,660600,83700,144000,285300,566100,0,3886.612453,1943.306226,2741.668721,1858.870924,3051.823316,7
1611.5,0,0,67.15,10389,12387.88369,114639.305,1382.494173,108900,174600,502200,501300,505800,270.552657,13064.89787,6858.120558,2144.017402,6316.458109,2431.382233,8
1169,1.1,1.7,12.4,46820,19070.52706,22634.86986,422.0205707,1401300,501300,154800,73800,20700,187.6636609,1316.230314,1316.230314,6891.721365,7169.106468,4980.824134,25
2017.5,1.5,1.2,44.78,15753,8720.135262,171384.8682,36135.17536,52200,113400,369000,579600,683100,96.37458279,1517.489191,1350.607711,1321.156722,9844.432666,289.3887667,32
6201,6.2,1.1,37.95,20468,51426.32774,47813.74387,15773.16127,0,23400,233100,246600,152100,1389.122667,1806.340585,1806.340585,1776.907579,8118.705644,362.404036,25
5249.2,5,1.6,32.3,31219,45513.32404,19950.00821,233.2723222,0,4500,122400,159300,45000,2429.443618,2357.639435,2357.639435,695.4986948,4790.316784,,56
2263.1,6.4,1.7,13.83,35152,77224.79364,28725.23744,1956.959018,110700,699300,430200,91800,112500,845.4906572,2000.995747,2000.995747,1181.069211,9846.83104,1363.59417,46
7028.5,5.1,1.3,18.06,37121,9508.823147,167706.6898,0,126000,159300,261000,240300,486000,158.8699665,4935.977641,3064.54315,778.9530385,6556.916702,1840.936645,69
446.6,5.2,2.3,2.27,65534,77664.91564,8145.950992,6080.859804,1843200,891000,459900,137700,60300,252.6999742,7124.816236,3616.427353,530.5750089,11966.37101,1351.032883,0
1168.9,4.7,2.3,2.27,65340,18987.53609,39161.13632,121.2893864,1503000,630900,503100,290700,85500,80.91853348,12682.37809,6973.822882,907.9959657,6034.381881,475.5030426,9
970,4.6,1.7,31.37,36262,85758.28648,7112.43612,547.4140778,712800,851400,408600,112500,13500,623.7848336,,,1805.567629,12994.99131,3174.949016,0
2852.6,5.5,1.4,38.03,30051,124001.0569,52932.72699,3331.922789,243900,556200,727200,232200,39600,1335.961081,,,2336.615883,22665.60198,801.8223371,60
852.1,0.8,1.4,27.11,37658,62884.55601,9531.438031,551.9688873,1019700,653400,332100,75600,7200,450.3522996,,,1763.251192,10556.78799,2461.750983,9
640.7,2,1.8,16.78,64524,211320.2362,3506.808555,1692.297839,2021400,723600,740700,146700,6300,515.4495677,,,304.2449841,17708.9908,,0
355.2,2.3,2,8.6,64776,216665.5195,81106.86375,15203.34209,12381300,3620700,893700,466200,154800,123.012843,13467.0045,8175.340726,170.8695782,36471.70346,,0
1197.3,0.5,1.9,15.8,76771,104886.1534,83858.90316,15658.05321,2221200,1558800,759600,440100,222300,438.29035,2416.745275,1208.372638,10402.69239,15169.4714,1035.674037,0
2609,0.3,1.8,0,59728,122832.2457,91446.17454,1926.096078,396000,927900,503100,344700,165600,558.0033071,,,6003.946615,9551.836253,14.53850465,10
1039.4,7.9,1.8,13.35,55435,160052.9252,20504.51392,19560.19193,1186200,1285200,643500,176400,35100,608.5930954,,,5250.085461,14754.84811,1300.548782,0
1784.3,0.7,1.5,3.41,53785,114131.4783,47405.18317,1495.688228,839700,616500,401400,239400,77400,1623.145541,,,3473.865011,10225.47764,,10
3388.4,2.8,1.6,23.68,57028,166376.7989,149575.5083,10703.05494,276300,690300,675000,568800,386100,1215.233249,,,7249.037556,7942.583171,380.72827,231
1312.6,1.2,2,0,92032,178713.5458,2635.839457,1793.92743,623700,697500,783000,129600,2700,843.0815557,,,4518.017582,12058.63952,,0
655.9,2.9,1.9,2.07,70957,104886.9263,12298.89995,846.8638267,1410300,584100,393300,40500,6300,459.0823654,,,1905.336766,10584.89237,,0
1632.2,0.8,2,2.45,70713,143317.8636,12490.39534,2217.02029,1729800,1215000,648000,159300,58500,526.8919129,3944.91594,1972.45797,4538.632375,14016.07855,421.3413546,0
657.9,0,1.8,24.62,52172,62505.15696,26992.05908,657.9419805,1461600,1226700,387000,72900,6300,326.1027987,94.99261946,47.49630973,1905.683577,11165.04367,,0
