OBJECTID,TAZCE10,GEOID10,householdincome_avghinc_cy,householdtotals_tothh_cy,vehiclesavailable_acsaggveh,populationtotals_dpop_cy,populationtotals_dpopwrk_cy,populationtotals_dpopdenscy,industry_unemprt_cy,vehiclesavailable_acsavgveh,ppl_per_sqmi
1,1530,4706500001530,44245,50,131,1800,1733,3169,3.2,2,3169.025074
2,1540,4706500001540,45100,66,71,1047,958,2879.5,1.6,1.4,2879.520755
3,1350,4706500001350,44806,273,291,1937,1527,1586.1,0.7,1.4,1586.115763
4,1510,4706500001510,0,0,0,1338,1338,6747.4,0,0,6746.569156
5,1360,4706500001360,46752,105,77,2111,1949,2109.5,3.1,1.5,2109.526674
6,640,4706500000640,65534,207,537,1728,1523,454.5,4.1,1.6,454.4930908
7,130,4706500000130,0,0,0,1263,1263,1891,0,0,1890.987097
8,370,4706500000370,14518,187,0,1114,901,1611.5,0,0,1611.396662
9,870,4706500000870,57862,156,217,972,811,1169,1.1,1.7,1169.02319
10,920,4706500000920,22444,67,79,1403,1271,2017.5,1.5,1.2,2017.677505
11,490,4706500000490,33684,351,387,1567,1158,6201,6.2,1.1,6200.425555
12,480,4706500000480,49452,312,353,674,348,5249.2,5,1.6,5247.234429
13,1390,4706500001390,48922,471,826,1261,631,2263.1,6.4,1.7,2263.289012
14,1450,4706500001450,50142,78,97,3451,3344,7028.5,5.1,1.3,7027.99868
15,1170,4706500001170,102409,331,702,585,158,446.6,5.2,2.3,446.5505936
16,1160,4706500001160,102537,94,199,1358,1240,1168.9,4.7,2.3,1168.838385
17,1150,4706500001150,47331,506,702,787,69,970,4.6,1.7,970.0423499
18,3000,4706500003000,41005,930,1308,1986,497,2852.6,5.5,1.4,2852.449296
19,1180,4706500001180,44840,362,386,685,145,852.1,0.8,1.4,852.0637914
20,2130,4706500002130,102644,732,1332,910,162,640.7,2,1.8,640.7252337
21,2740,4706500002740,104964,835,1587,2411,1148,355.2,2.3,2,355.1887803
22,2520,4706500002520,83057,880,1354,2404,1466,1197.3,0.5,1.9,1197.285946
23,2090,4706500002090,75651,503,1001,2352,1868,2609,0.3,1.8,2608.942397
24,2160,4706500002160,83847,781,937,1334,399,1039.4,7.9,1.8,1039.42908
25,2120,4706500002120,73275,1359,1710,1494,681,1784.3,0.7,1.5,1784.205744
26,2080,4706500002080,73817,1220,1745,3402,2373,3388.4,2.8,1.6,3388.400768
27,2180,4706500002180,103309,727,1303,1132,35,1312.6,1.2,2,1312.644397
28,2170,4706500002170,85575,436,734,623,95,655.9,2.9,1.9,655.9353361
29,2200,4706500002200,120275,776,1522,2404,1237,1632.2,0.8,2,1632.162059
30,2540,4706500002540,54486,399,587,805,144,657.9,0,1.8,657.8862554
31,2560,4706500002560,109888,495,531,1575,784,2304,2.4,1.4,2303.941285
32,2530,4706500002530,88345,326,1089,529,143,710.4,0,2.1,710.4577012
33,2220,4706500002220,90659,889,0,2081,908,395.7,2.8,0,395.7024243
34,610,4706500000610,44059,3,7,2360,2353,2319.9,0,1.4,2319.954549
35,290,4706500000290,30335,114,93,18598,18363,28080.9,18.8,0.9,28081.74721
36,2310,4706500002310,96930,670,1349,1018,147,643.7,4.9,2,643.6619419
37,1930,4706500001930,121781,1059,0,1599,212,1236.9,0,0,1236.94143
38,2110,4706500002110,100404,886,1398,1080,173,1002.7,4.8,1.9,1002.704388
39,2100,4706500002100,78017,935,1814,2248,1356,2490.9,3,1.8,2490.93187
40,1520,4706500001520,75676,125,211,2810,2657,2941.8,2.4,1.7,2941.672949
41,1500,4706500001500,47078,32,40,1929,1898,6631.1,0,1.2,6631.459697
42,1480,4706500001480,145332,497,917,1558,1202,2193.4,0,2.1,2193.383147
43,2000,4706500002000,75975,768,1300,1390,487,1210.3,2.3,1.7,1210.287224
44,2050,4706500002050,87950,1251,1494,1902,511,1995.6,3.6,1.4,1995.645545
45,2030,4706500002030,48115,403,368,1610,1223,6507.7,1,1.1,6507.697134
46,2020,4706500002020,48115,582,343,1471,899,4349.5,1,1.1,4349.943691
47,2190,4706500002190,104006,822,1774,1483,350,1137.2,1.9,2.1,1137.183269
48,2060,4706500002060,121132,49,73,1535,1113,4613.8,1.8,1.7,4613.975973
49,1580,4706500001580,48757,558,802,1121,563,1841.9,3.8,1.4,1841.898131
50,1940,4706500001940,133319,950,2153,1534,231,289.7,3.9,2.1,289.7217841
51,2320,4706500002320,96845,589,1185,1062,239,1464.6,4.9,2,1464.645636
52,1910,4706500001910,78827,549,694,1190,532,740.1,2.8,1.4,740.1601785
53,700,4706500000700,75397,362,471,417,193,1125.2,0.4,1.7,1125.283241
54,790,4706500000790,53753,936,1490,1483,455,1795.6,1.4,1.5,1795.552719
55,800,4706500000800,85342,402,783,1165,675,1727.2,2.3,2,1727.331035
56,1300,4706500001300,54809,449,0,866,390,2817.2,5.3,0,2817.41379
57,1340,4706500001340,49952,447,901,975,491,822.6,2.9,1.9,822.5432171
58,1310,4706500001310,38538,391,0,520,2,2381,7.4,0,2381.210604
59,1840,4706500001840,73252,621,0,797,140,1373.4,3.7,0,1373.464962
60,1820,4706500001820,61014,520,667,763,90,467.1,3.1,1.7,467.0908331
61,1880,4706500001880,52348,375,505,1791,1293,3418.6,4.9,1.6,3418.908592
62,2500,4706500002500,183709,469,1222,695,63,551.4,1.8,2.4,551.3553425
63,1990,4706500001990,43949,303,786,681,272,1107.9,2.7,2,1107.890833
64,2210,4706500002210,0,0,0,1661,1661,284.3,0,0,284.2745902
65,1980,4706500001980,48645,607,1124,1032,140,2420.3,7.3,1.6,2420.182857
66,2350,4706500002350,56384,356,612,481,59,180.9,13.6,2.2,180.9214158
67,2360,4706500002360,85188,675,1323,1109,284,206.7,8.1,1.9,206.6769359
68,1850,4706500001850,71107,1077,1743,2740,1458,2188,4.1,1.7,2187.995556
69,1830,4706500001830,60974,598,767,840,110,548.1,3,1.7,548.0777402
70,1860,4706500001860,73085,532,1102,1083,258,1123.6,0,1.8,1123.543091
71,3010,4706500003010,57781,484,919,1525,976,676,1.6,1.5,675.9754645
72,1870,4706500001870,74422,848,1766,1256,181,722.8,0,2,722.8087856
73,1090,4706500001090,63916,748,982,951,193,2432.2,1.4,1.6,2432.481433
74,450,4706500000450,49487,61,69,429,359,3084.1,5.4,1.6,3083.152311
75,1610,4706500001610,40851,26,23,1142,1109,1184.2,7.1,1.4,1184.209042
76,1140,4706500001140,44061,311,485,483,41,727,11.9,1.9,727.0189456
77,2750,4706500002750,162152,3,0,909,904,2105.1,0,0,2105.18629
78,1120,4706500001120,71229,593,1017,976,160,1491.9,4.2,1.8,1491.80959
79,1890,4706500001890,52355,345,464,1921,1562,4943.4,4.8,1.6,4943.771665
80,1490,4706500001490,46968,1075,1349,1954,1070,2268.1,0.5,1.3,2268.035108
81,2070,4706500002070,80621,58,81,6600,6537,12504.7,3.8,1.8,12504.0627
82,2140,4706500002140,101185,1421,0,2409,623,1599.3,0.7,0,1599.33481
83,2040,4706500002040,87949,23,16,517,490,2444.4,4,1.5,2444.923784
84,2010,4706500002010,58583,838,1319,2516,1760,1669.1,1.2,1.8,1669.094356
85,3040,4706500003040,82292,409,746,643,183,1058.8,2.8,2,1058.709297
86,1550,4706500001550,68180,317,822,1900,1563,4120.6,1.8,2.2,4120.199452
87,2550,4706500002550,109887,794,574,1598,163,916,2.5,1.4,915.9523248
88,880,4706500000880,57917,445,619,490,18,723.6,1,1.7,723.587931
89,890,4706500000890,55196,841,1010,1153,203,1167.7,4.2,1.8,1167.698649
90,860,4706500000860,144322,1443,2550,6817,5054,756.6,2.1,1.9,756.5538045
91,950,4706500000950,33115,171,200,1715,1440,2101.2,15.5,1.4,2101.278321
92,910,4706500000910,25675,507,525,1325,516,3643.1,13.8,1.1,3643.575343
93,930,4706500000930,28382,201,184,424,105,709.6,21.4,0.9,709.5986914
94,940,4706500000940,29311,571,425,1433,301,1563,19.9,1.1,1563.1131
95,1020,4706500001020,55354,519,657,1107,248,2826.9,9.9,1.4,2826.547592
96,1050,4706500001050,75261,290,402,365,22,1279.8,1.5,1.7,1279.65278
97,380,4706500000380,65522,2,6,873,870,4145.3,0,2,4146.274392
98,730,4706500000730,89553,1370,1179,2929,1567,2296.7,5.8,1.6,2296.753315
99,1000,4706500001000,35836,304,524,1037,405,4156.3,10.8,1.4,4156.443477
100,1010,4706500001010,44546,584,940,1207,171,3239.4,6.2,1.6,3239.422466
101,1040,4706500001040,53716,810,1396,980,46,1410.1,3.8,1.7,1410.090133
102,820,4706500000820,115886,623,1707,749,90,102.5,1.4,2.3,102.4657032
103,840,4706500000840,122176,271,474,360,82,113.1,0,1.5,113.1390231
104,830,4706500000830,78818,620,970,1023,187,752.4,2.5,2,752.4099762
105,900,4706500000900,28248,286,273,770,271,2858.2,20.3,1,2857.987725
106,960,4706500000960,33144,386,457,1374,773,1511.7,15.7,1.4,1511.695744
107,360,4706500000360,80646,224,215,574,411,2629.4,1.6,1.7,2629.355481
108,430,4706500000430,48221,3,4,1054,1030,3025.3,4.3,2,3025.364318
109,140,4706500000140,13348,1799,0,3002,748,12995.7,17,0,12997.7894
110,1410,4706500001410,46014,761,1423,2791,1898,3508,0.8,1.7,3507.977625
111,1430,4706500001430,43632,546,698,1710,1132,2924.6,0,1.1,2924.632282
112,1440,4706500001440,65608,1268,2136,2463,1077,922.8,1.8,1.9,922.8216046
113,590,4706500000590,30416,372,0,1921,1227,2459,18.8,0,2458.961351
114,510,4706500000510,32991,781,854,1445,237,3395.2,15.6,1.1,3395.564418
115,150,4706500000150,68798,1,0,841,840,9449.4,0,0,9454.458623
116,200,4706500000200,80645,242,382,608,483,7246.7,1.7,1.7,7245.553429
117,190,4706500000190,0,0,0,284,284,2392.6,0,0,2392.293863
118,220,4706500000220,80647,10,20,103,94,1627.2,0,1.7,1627.341321
119,100,4706500000100,68798,6,7,432,427,6008.3,0,0.9,6007.957564
120,80,4706500000080,68798,1,0,944,943,44319.2,0,0,44385.8915
121,50,4706500000050,68798,4,3,2013,2009,92765,0,0.8,92976.33826
122,20,4706500000020,68794,118,0,1999,1902,60759.9,4.2,0,60760.62627
