Percent unemployed,Vehicles per household,Median income,Houshold Density,Daytime population density,Percent below poverty level,Residential area,Commercial/Industrial area,Other area,Undeveloped area,Developed open area,Developed low intensity,Developed medium intensity,Developed high intensity,Building Count Commercial/Industrial/MU,Building Count Other,Building Count Residential,Median Contract Rent,Median Gross Rent,Ridership
17,0,10253,1945,5369,61.03,46783.09204,362204.4318,14996.26507,122400,35100,383400,628200,840600,93,11,89,248,307,0
17,0,10253,1945,4729,61.03,46783.09204,362609.0587,11775.6663,96300,37800,390600,651600,835200,94,3,92,248,307,0
16.6,0,10362,1972,6158,60.05,46755.63567,390260.1514,21278.36398,27000,35100,376200,637200,936900,105,12,86,249,308,0
16.3,0,10528,2051,9844,59.13,47918.91746,298304.127,19238.82368,289800,125100,475200,623700,498600,92,4,92,259,311,0
16.3,0,10528,2051,9231,59.13,47918.91746,295867.4252,19238.82368,285300,121500,476100,630000,502200,88,4,92,259,311,1
16.3,0,10522,2050,4971,59.13,47477.94672,334984.5717,18734.37728,166500,84600,449100,674100,640800,72,2,93,259,311,1
16.3,0,10522,2050,5746,59.13,46783.09204,398233.7948,15334.74213,68400,50400,398700,685800,812700,63,2,93,259,311,0
16.3,0,10522,2050,8336,59.13,47477.94672,424243.5863,27835.37131,18900,47700,396900,700200,842400,78,2,92,259,311,0
16.3,0,10522,2050,5811,59.13,46783.09204,409787.9776,15710.6429,49500,37800,394200,671400,858600,88,4,92,259,311,0
16.3,0,10522,2050,5780,59.13,46783.09204,398665.3676,15334.74213,64800,50400,399600,687600,808200,91,4,92,259,311,1
16.3,0,10522,2050,5258,59.13,47477.94672,333427.6926,25520.92259,177300,91800,453600,671400,612900,71,5,94,259,311,1
16.3,0,10528,2051,9844,59.13,47918.91746,298304.127,19238.82368,289800,125100,475200,623700,498600,65,8,73,259,311,0
16.3,0,10528,2051,9231,59.13,47918.91746,295867.4252,19238.82368,285300,121500,476100,630000,502200,85,12,63,282,293,1
15.5,0,10864,2189,12382,59.1,60420.0343,346103.4534,33730.03808,112500,131400,489600,666900,603900,88,12,63,282,293,0
15.5,0,10883,2131,12539,59.07,56183.94944,279369.5373,42131.74911,244800,142200,474300,629100,526500,94,15,63,282,293,0
0,0.3,10389,225,1570,55.22,12387.88369,171117.4098,32265.15126,183600,112500,446400,567000,702000,87,12,63,282,293,0
