Median Income,Household Density,Daytime Population Density,Percent Unemployed,Vehicles per Household,Percent below poverty level,Residential area,Commercial/Industrial area,Other area,Undeveloped area,Developed open area,Developed low intensity,Developed medium intensity,Developed high intensity,Net Passengers
30290,88.02847432,3169,3.2,2,21.21,8689.422468,105205.0769,68741.6774,114300,314100,364500,375300,303300,0
37570,181.5170675,2879.5,1.6,1.4,28,7275.785398,105113.3044,31110.97836,6300,184500,296100,286200,172800,3
37659,223.5465169,1586.1,0.7,1.4,27.32,11744.54089,101949.9228,3459.248985,834300,525600,731700,677700,396900,4
0,0,6747.4,0,0,0,0,105750.3504,0,900,26100,93600,198000,194400,2
37141,104.9267176,2109.5,3.1,1.5,11.76,15653.07159,216725.2135,33787.68041,287100,295200,493200,690300,825300,5
47411,54.44448483,454.5,4.1,1.6,12.95,15726.34495,113117.2565,23054.05884,6741000,1462500,830700,582300,225900,0
0,0,1891,0,0,0,0,199759.2092,122.3262208,660600,83700,144000,285300,566100,7
10389,270.4947719,1611.5,0,0,67.15,12387.88369,114639.305,1382.494173,108900,174600,502200,501300,505800,8
46820,187.6210059,1169,1.1,1.7,12.4,19070.52706,22634.86986,422.0205707,1401300,501300,154800,73800,20700,25
15753,96.35380824,2017.5,1.5,1.2,44.78,8720.135262,171384.8682,36135.17536,52200,113400,369000,579600,683100,32
20468,1388.863669,6201,6.2,1.1,37.95,51426.32774,47813.74387,15773.16127,0,23400,233100,246600,152100,25
31219,2428.986857,5249.2,5,1.6,32.3,45513.32404,19950.00821,233.2723222,0,4500,122400,159300,45000,56
35152,845.3680616,2263.1,6.4,1.7,13.83,77224.79364,28725.23744,1956.959018,110700,699300,430200,91800,112500,46
37121,158.8478403,7028.5,5.1,1.3,18.06,9508.823147,167706.6898,0,126000,159300,261000,240300,486000,69
65534,252.6636691,446.6,5.2,2.3,2.27,77664.91564,8145.950992,6080.859804,1843200,891000,459900,137700,60300,0
65340,80.90633884,1168.9,4.7,2.3,2.27,18987.53609,39161.13632,121.2893864,1503000,630900,503100,290700,85500,9
36262,623.686695,970,4.6,1.7,31.37,85758.28648,7112.43612,547.4140778,712800,851400,408600,112500,13500,0
30051,1335.739096,2852.6,5.5,1.4,38.03,124001.0569,52932.72699,3331.922789,243900,556200,727200,232200,39600,60
37658,450.2877263,852.1,0.8,1.4,27.11,62884.55601,9531.438031,551.9688873,1019700,653400,332100,75600,7200,9
64524,515.3965615,640.7,2,1.8,16.78,211320.2362,3506.808555,1692.297839,2021400,723600,740700,146700,6300,0
64776,123.0122901,355.2,2.3,2,8.6,216665.5195,81106.86375,15203.34209,12381300,3620700,893700,466200,154800,0
76771,438.2743895,1197.3,0.5,1.9,15.8,104886.1534,83858.90316,15658.05321,2221200,1558800,759600,440100,222300,0
59728,557.9498407,2609,0.3,1.8,0,122832.2457,91446.17454,1926.096078,396000,927900,503100,344700,165600,10
55435,608.541313,1039.4,7.9,1.8,13.35,160052.9252,20504.51392,19560.19193,1186200,1285200,643500,176400,35100,0
53785,1622.982334,1784.3,0.7,1.5,3.41,114131.4783,47405.18317,1495.688228,839700,616500,401400,239400,77400,10
57028,1215.123145,3388.4,2.8,1.6,23.68,166376.7989,149575.5083,10703.05494,276300,690300,675000,568800,386100,231
92032,843.0145554,1312.6,1.2,2,0,178713.5458,2635.839457,1793.92743,623700,697500,783000,129600,2700,0
70957,459.0494489,655.9,2.9,1.9,2.07,104886.9263,12298.89995,846.8638267,1410300,584100,393300,40500,6300,0
70713,526.8543086,1632.2,0.8,2,2.45,143317.8636,12490.39534,2217.02029,1729800,1215000,648000,159300,58500,0
52172,326.0827526,657.9,0,1.8,24.62,62505.15696,26992.05908,657.9419805,1461600,1226700,387000,72900,6300,0
76018,724.0958325,2304,2.4,1.4,11.08,96028.56411,50959.29789,941.0191549,543600,444600,404100,280800,81000,0
82454,437.8245945,710.4,0,2.1,10.16,58874.30613,1425.850134,323.4861716,406800,567900,387000,347400,219600,0
76127,169.0434672,395.7,2.8,0,2.36,186723.6297,36465.26109,1942.946252,10635300,1773900,1010700,118800,77400,0
42500,2.949094767,2319.9,0,1.4,0,112.8531242,278659.138,16386.8072,524700,403200,635400,629100,441000,0
24661,172.1324435,28080.9,18.8,0.9,35.92,14800.0837,173462.9945,43270.93395,96300,165600,326700,531900,600300,116
81301,423.6281936,643.7,4.9,2,3.57,186532.8295,14261.67801,5693.951766,2234700,846000,663300,306000,49500,0
93323,819.2126168,1236.9,0,0,0,245163.859,23611.43709,3330.603852,551700,1503000,1156500,125100,15300,0
61337,822.5889705,1002.7,4.8,1.9,3.31,148340.178,8346.46401,1224.798868,1018800,1052100,498600,190800,34200,0
55207,1036.041503,2490.9,3,1.8,5.51,174148.0382,40475.8421,2470.160276,24300,795600,1038600,353700,125100,0
55715,130.8573376,2941.8,2.4,1.7,6.45,34581.20197,101639.534,2869.645162,360900,373500,455400,662400,624600,2
37752,110.0086627,6631.1,0,1.2,12.5,5102.587321,60342.28828,27033.70178,83700,153900,150300,180000,180900,8
91345,699.6864084,2193.4,0,2.1,11.37,108385.3396,62834.31631,1233.873006,109800,654300,619200,336600,120600,24
55649,668.7054591,1210.3,2.3,1.7,6.02,155929.1267,37395.34204,1973.344479,980100,932400,797400,231300,34200,0
57829,1312.593364,1995.6,3.6,1.4,15.52,212542.4884,47968.06966,811.0056791,393300,869400,863100,286200,57600,0
40463,1628.945306,6507.7,1,1.1,11.38,44735.27829,26846.91195,117.0680858,37800,93600,166500,230400,116100,33
40341,1721.05182,4349.5,1,1.1,11.22,62141.31279,37109.56806,156.5051847,25200,348300,243000,207000,49500,37
79400,630.320059,1137.2,1.9,2.1,5.9,187794.1953,13503.09914,764.4698808,1272600,1203300,799200,90900,3600,0
71980,147.2865293,4613.8,1.8,1.7,0,3883.469839,54116.83574,2869.124809,48600,227700,280800,201600,102600,0
35000,916.8413538,1841.9,3.8,1.4,6.94,58846.51427,41482.69388,75.65748848,530100,411300,333900,241200,54000,10
102836,179.4235299,289.7,3.9,2.1,5.96,247713.0275,12809.76877,3079.487672,11029500,1728900,780300,154800,20700,0
81212,812.3128814,1464.6,4.9,2,3.72,111685.4116,13593.31788,311.9076189,715500,489600,583200,80100,9900,0
50720,341.4688556,740.1,2.8,1.4,4.8,109698.2671,37333.05446,2290.756538,2667600,915300,360000,177300,43200,0
54085,976.8645894,1125.2,0.4,1.7,22.83,48643.60689,16444.45095,678.8129773,140400,586800,180900,42300,900,3
39659,1133.268607,1795.6,1.4,1.5,16.51,129511.2756,24809.69499,361.8012225,338400,942300,627300,177300,54000,0
51769,596.0404084,1727.2,2.3,2,6.36,63263.09638,63020.44613,1299.602024,553500,493200,480600,185400,32400,0
38451,1460.76073,2817.2,5.3,0,22.78,52245.26926,35451.46202,0,0,338400,300600,88200,72000,34
38788,377.1044287,822.6,2.9,1.9,9.7,70562.83283,63529.52934,639.8797092,1400400,735300,630900,229500,72000,4
33711,1790.487206,2381,7.4,0,31.45,55351.4064,443.1351331,371.3982928,0,354600,205200,4500,0,0
59959,1070.165296,1373.4,3.7,0,20.5,125477.295,13655.45719,250.7657449,45000,924300,464400,56700,9900,0
42279,318.3318915,467.1,3.1,1.7,15.28,80620.04333,18350.52926,1380.566772,2985300,620100,457200,141300,25200,0
36880,715.8518823,3418.6,4.9,1.6,20.13,61421.5391,84283.05341,273.6985233,40500,514800,452700,225000,121500,0
131992,372.0656915,551.4,1.8,2.4,0,178591.5722,3460.686339,1201.550591,1566000,1089900,453600,138600,3600,0
30029,492.9382119,1107.9,2.7,2,21.55,47834.42258,42036.48667,631.6081046,352800,630000,345600,192600,72000,5
0,0,284.3,0,0,0,0,576445.2358,48179.35957,7001100,2871900,2026800,1594800,1645200,1
37935,1423.499025,2420.3,7.3,1.6,9.13,99883.81091,9152.208527,4495.496259,36900,453600,551700,56700,6300,0
51093,133.9044158,180.9,13.6,2.2,6.03,79734.89,12682.40311,1664.628521,5730300,668700,396900,46800,20700,0
59024,125.7952495,206.7,8.1,1.9,15.06,167950.2458,35203.93481,6307.386935,11389500,1425600,855000,173700,45000,0
47336,860.0259901,2188,4.1,1.7,15.16,169433.8043,58806.79284,0,728100,1506600,712800,180000,113400,0
41990,390.1791531,548.1,3,1.7,15.32,102110.1557,20947.94818,604.5626718,2704500,780300,379800,83700,22500,0
60057,551.9159042,1123.6,0,1.8,20.87,100330.0427,20357.73297,953.2671587,927900,1024200,453600,70200,18000,0
36860,214.5390982,676,1.6,1.5,0,71894.26599,56105.29253,11839.82837,4445100,702900,414900,216900,66600,0
67271,488.0110273,722.8,0,2,10.42,167190.6792,8391.599452,1089.503037,2108700,1519200,794700,72000,4500,0
46702,1913.245123,2432.2,1.4,1.6,12.34,78613.01914,12261.18722,615.5566617,7200,606600,309600,58500,19800,2
30531,438.3969494,3084.1,5.4,1.6,31.82,5571.385007,17896.65465,13340.34453,0,24300,111600,162900,61200,28
28027,26.96097645,1184.2,7.1,1.4,17.65,4305.073625,126678.3167,11372.50112,468900,504900,568800,443700,511200,13
37978,468.1219299,727,11.9,1.9,9.3,53340.3949,4154.36401,1364.086795,759600,730800,205200,21600,900,1
