Percent Unemployed,Vehicles per Household,Percent below poverty level,Median income,Household Density,Daytime Population Density,Undeveloped area,Developed open area,Developed low intensity,Developed medium intensity,Developed high intensity,Residential area,Commercial/Industrial area,Other area,Net Passengers
0,1.4,14.29,50000,4147.896912,3274.655457,0,6390,5520,0,0,1600.941864,0,0,464
4.76,1.5,25,32201,2411.921386,2813.908284,0,1980,13020,4020,330,2580.071872,0,0,464
0,2,0,0,148.8809212,595.5236846,0,2640,6690,8250,0,0,1470.589112,0,464
9.68,1.3,37.5,25000,3410.283223,6968.839629,0,900,13560,3000,0,2975.910839,0,0,464
0,0,0,0,0,1380.531093,0,0,1020,5520,12210,0,3004.823393,0,466
0,1.2,33.33,21429,1860.804092,1581.683478,0,6360,10980,8100,2340,1923.588154,1863.203775,0,464
0,0,0,0,0,0,0,8520,2910,1050,0,0,0,0,464
14.29,1.4,22.22,28747,2094.600967,2373.881096,0,4440,9270,3300,1410,895.5634279,1190.233631,0,464
6.45,1.5,26.32,31005,886.7555268,1418.808843,420,47130,8340,2550,0,2161.680435,0,722.7574245,464
0,0,0,0,0,0,0,480,930,480,0,0,0,0,464
0,1.2,0,0,14.2704089,4723.505347,55440,46530,69990,77850,112770,503.8441694,57293.26788,0,464
0,0,0,0,0,0,71310,166080,10110,9300,9360,0,0,1332.527022,464
0,0,0,0,0,0,0,540,6300,510,0,0,0,0,464
0,1.4,13.89,46842,2220.435784,2458.339618,0,9390,20160,3120,0,4569.233193,0,0,464
0,1.4,14.29,45382,4755.565047,5812.35728,0,0,7320,6420,960,821.9857675,1028.542444,0,466
0,1.6,7.69,36480,1679.893565,1805.885583,0,85410,35040,1890,1020,6691.196135,210.0430497,0,464
0,0,0,0,0,0,0,0,720,0,0,0,0,0,464
7.14,1.9,6.67,75000,1318.501758,1494.301993,0,15120,14340,0,0,3315.305121,0,0,464
0,0,0,172075,87.98980431,162.4427156,273240,87660,13020,8670,0,6689.845319,362.331669,0,464
0,2.1,7.99,82168,363.0137655,378.6995455,1213110,944910,120270,26370,6690,61226.15707,1521.262656,288.710506,464
0,0,0,0,0,0,0,0,300,2220,5670,0,5364.534821,0,463
0,0,0,0,0,11148.0958,0,0,0,1200,10920,0,4123.634759,0,465
0,0,0,0,0,61406.49085,0,0,360,3840,14400,0,8333.684705,0,466
0,0,0,0,0,22018.38861,0,0,0,9540,4020,0,1863.204495,0,466
0,0,0,0,0,0,0,0,0,720,180,0,0,0,464
10,2.2,12.5,68533,788.1173479,1238.470118,0,16050,7050,0,0,1659.842103,464.9288902,0,464
3.96,1.4,5.69,35000,1866.479348,2559.953888,5610,175740,145200,22140,2700,35063.73129,4619.370824,0,472
0,2.1,12.5,50000,983.4146512,1081.756116,0,19740,6600,0,0,3377.371853,0,0,464
0,0,0,0,42.88467628,7933.665111,0,5520,18840,29430,6630,359.0218617,6814.664399,0,473
0,0,0,0,0,6319.563406,0,0,0,3210,18630,0,2671.218074,0,463
0,0,0,0,0,3380.143891,0,0,0,30,8340,0,1765.777856,0,462
0,0,0,0,0,2448.837065,0,0,0,210,8250,0,2269.873167,0,464
0,0,0,0,0,34387.52074,0,540,1500,4500,10140,0,3047.236079,0,464
0,0,0,0,0,77931.33402,0,0,0,1950,36030,0,16683.24998,0,464
0,0,0,0,0,0,10530,10590,15090,2910,0,0,0,0,464
0,0.3,55.45,10338,24632.44541,15675.19253,0,0,4650,8070,0,0,404.4747688,0,493
0,0,0,0,0,0,0,0,11580,3690,0,0,0,64.27628733,464
0,1.3,33.33,25000,716.2357102,716.2357102,0,0,8670,3180,6240,793.2029678,4514.851851,0,464
0,1.7,33.33,41302,1235.201791,2823.31838,0,0,7740,6900,0,1240.268341,1753.815688,0,464
0,0,0,0,0,1876.330278,0,0,2520,7140,0,0,920.7294142,0,464
0,1.9,0,66862,3384.744633,1230.81623,0,3690,3720,900,0,1675.531422,0,0,464
0,1.5,10,86037,3190.159586,2610.130571,0,720,7890,0,0,2201.642734,0,0,463
0,1.7,0,85714,2788.496685,1593.426677,0,1440,5130,0,0,1630.563864,190.742743,0,464
0,1.8,7.69,75000,4219.329249,1582.248468,0,2760,7020,0,0,2136.45173,0,0,464
0,1.7,0,200001,625.051319,1041.752198,0,3600,7980,900,0,1948.965329,0,0,464
12.5,1.1,26.67,26872,2474.152071,4948.304142,0,900,9840,5010,0,2644.964173,111.882428,0,464
15.79,1.1,29.41,26923,2651.507398,3977.261097,0,0,13740,1860,0,2374.671208,0,0,464
12.82,1.1,27.59,29199,3093.82415,5550.684504,0,750,15180,12570,0,3939.967151,596.2104427,140.620171,431
22.22,1,30,25000,2950.181613,5363.96657,0,0,3780,5820,0,1400.71288,273.4684406,0,470
0,0,0,0,0,1938.802548,50970,55890,52470,57990,43050,0,24760.05513,1013.498852,465
20.69,1,28.57,23786,3981.834855,5763.182027,0,750,18990,4860,0,5060.694007,0,0,464
0,1.4,41.67,29389,3728.371937,36996.92153,0,0,60,1770,7260,218.3769801,1409.237981,0,464
5.77,1.7,20,35000,2716.545543,11002.00945,0,0,3270,15420,450,1999.711752,1720.147285,0,448
8.33,1.4,35.29,22683,2123.360877,3576.18674,0,0,11190,10320,1650,2273.858533,2439.691742,0,469
0,0,0,0,0,6194.918343,0,0,0,3180,4710,0,1959.606892,0,460
6.67,1.3,40.38,20424,3535.466243,3731.881035,0,11160,24210,4170,0,4872.704614,0,361.339537,482
0,0,0,0,0,0,0,0,150,3540,1620,0,0,0,464
0,0,0,0,0,737.2991166,0,0,0,1080,12960,0,1589.019536,0,453
0,2,0,0,1575.895208,787.9476039,0,1470,1800,0,0,443.5733723,0,0,464
8.33,1.1,15.79,30348,6720.313238,7074.013935,0,300,7050,0,0,816.4062642,0,0,464
0,1.4,6.25,30290,1704.251591,2300.739647,0,17640,12750,0,0,2544.87316,0,0,464
0,2,0,0,97.68098785,97.68098785,18180,6330,1950,0,0,345.1175894,231.7151574,40.97477843,464
0,2,0,50000,888.1239012,634.3742152,0,16950,3480,0,0,1069.856722,0,151.076406,464
0,1.4,6.58,37771,380.7760274,342.6984247,202920,192930,115980,32670,0,26704.48643,1931.105274,0,457
0,1,50,19014,1065.445381,443.9355753,900,16530,10230,1500,0,1786.752296,148.2194363,0,465
0,2.2,11.11,63384,934.4478614,1245.930482,0,20640,4350,0,0,901.8033495,443.0416327,0,464
3.03,2,7.14,53673,185.9835754,5636.11096,0,142740,84420,60630,32580,3516.141274,25368.75795,0,464
0,2.1,4.35,54188,1587.346817,1587.346817,0,14310,15060,0,0,3325.481582,0,0,464
5.26,1.4,0,37916,1207.059612,1689.883456,0,21960,10110,0,0,2877.963525,0,0,464
0,0,0,0,0,1205.361568,117570,65580,85710,69840,54780,0,30759.63475,0,464
0,0,0,0,0,0,0,0,1350,4290,2280,0,0,0,464
2.94,1.9,33.33,50000,1452.988691,1569.227786,0,24600,19890,0,0,3669.945776,280.4917711,0,464
0.75,1.6,14.89,30731,966.2343948,1104.26788,34680,246090,52500,2370,2280,14891.39352,2142.646417,149.3033264,464
0,0,0,0,0,0,60,720,3480,360,0,0,0,0,464
0,1.2,40,29084,2761.283884,1380.641942,0,150,6030,1290,0,1493.195478,0,0,451
0,0,0,0,0,5326.181875,0,0,0,1290,5520,0,1135.246379,0,453
0,0,0,0,0,0,0,92160,2280,90,0,0,0,0,464
5.26,1.5,25,35000,3856.91116,5785.36674,0,0,1920,3420,0,1146.5817,0,0,459
5,1.6,23.53,32911,11792.38885,5286.243277,0,0,2910,3420,0,1540.515666,0,0,464
8.33,1.4,20,35000,3004.083504,3379.593942,0,0,5850,990,0,1413.898744,0,0,464
5.88,1.4,20,31818,4366.72898,7641.775715,0,0,4800,2250,0,1954.003609,0,0,464
0,1,0,0,733.8688734,733.8688734,0,0,1110,5070,870,291.4196784,551.3354434,0,439
0,0,0,0,0,1459.402947,0,0,990,6120,0,180.80172,1304.193492,0,464
5.88,1.2,20,29084,2949.840676,8480.791945,0,450,5670,870,30,764.6030479,0,0,464
0,1.5,25,29084,1803.181088,4057.157448,0,90,5040,630,0,695.4059754,0,0,464
0,1,0,0,1218.828226,812.5521504,0,0,90,4050,2250,186.4844064,738.1183321,0,465
0,1.4,20,29084,1834.321775,1528.601479,0,1440,6990,60,0,991.7049844,0,0,464
0,1.5,50,7500,1148.627004,5743.13502,0,0,450,4890,1440,210.2403915,733.3223398,0,458
2.56,1.5,14.81,35838,2173.45691,2745.419255,0,13740,29100,2430,0,5092.457902,115.453304,0,444
0,0,0,0,0,0,0,420,7260,1200,0,0,0,0,464
0,1.7,16.67,41302,410.3208654,512.9010817,24210,19140,6240,960,0,1141.069321,220.2059095,266.3252838,464
0,0,0,0,0,0,0,0,2640,5430,90,0,145.9396052,0,464
0,2,0,50000,1558.571044,1948.213806,0,1740,4740,0,0,574.4458848,0,0,464
0,0,0,0,0,0,0,0,3000,4680,0,0,1050.602409,0,480
0,0,0,0,0,0,17880,360,1080,960,0,0,616.2622685,0,464
0,0,0,0,0,0,0,0,150,180,0,0,0,0,464
20.59,0.9,29.73,25000,5333.703498,8381.534068,0,0,19680,750,0,3695.150036,207.3395613,0,479
0,0,0,0,0,7104.443734,0,0,0,2640,4260,0,2902.548741,0,480
0,0,0,0,0,0,0,0,1290,1560,600,0,0,0,464
10,1.3,36.36,18873,3771.069447,3085.420456,0,0,4380,3150,0,1701.319178,0,0,468
0,0,0,0,0,465.0951162,30630,54690,92880,72480,167040,0,24340.9302,0,464
0,1.3,33.33,25000,642.9041114,9772.142493,0,0,90,12570,7530,348.4682079,3407.141407,795.5124233,435
0,0,0,0,0,0,0,0,1260,4350,630,0,0,0,464
30,0,40.74,16738,1349.173965,3009.695769,0,150,23430,1560,0,0,0,0,464
0,0,40,7500,299.3091881,698.3881055,0,2880,22500,600,0,2275.060521,1118.247428,0,464
18.6,1,30.23,24182,4014.002417,6984.364206,0,0,31380,840,0,4629.16012,884.1581489,0,468
18.6,0.9,31.58,25000,2650.916562,4455.795924,0,8340,35790,1860,0,6194.379002,0,166.7608574,456
20,1,33.33,25000,2759.162664,4514.993449,0,0,6360,3990,0,1213.308937,0,299.3785796,462
15,0.9,23.08,29355,4586.496005,3004.945659,0,1980,12750,1680,0,2881.88185,0,0,464
0,0,0,0,0,3168.799669,0,0,60,2760,3690,0,835.2931881,0,465
15.38,1,26.67,29167,2884.17105,2035.885447,0,1350,9810,3960,0,2122.614848,615.9845435,0,476
0,1,0,0,1931.019118,643.6730393,0,690,3180,180,0,661.6777534,0,0,464
0,0,0,0,0,0,0,0,690,750,0,0,0,0,464
0,1.2,33.33,25000,2199.175886,1256.671935,0,2100,6090,0,0,811.9898077,0,0,464
7.69,1.1,37.5,25000,2616.317953,5523.3379,0,4860,4050,0,0,1169.41483,0,0,464
9.09,1,33.33,29084,1492.431868,6715.943407,0,1980,9210,2760,0,1154.348152,254.6603665,0,472
0,0,0,0,0,0,0,0,510,5640,480,0,0,0,464
3.03,1.7,10,36335,617.353462,3757.803682,0,33510,50160,10110,2700,3117.579398,2295.274561,103.6490584,464
0,0,0,0,0,950.7247725,0,0,1290,6000,900,0,949.123394,0,464
0,1.3,8.33,41089,384.2938892,521.5417067,0,22710,42270,15510,13800,1740.475247,7260.924822,0,466
0,1.3,33.33,35000,4811.977165,6014.971456,0,0,3360,990,0,800.9789802,0,0,464
5.88,1.6,26.67,35000,1073.975928,1457.538759,0,19830,13950,0,0,2758.226432,0,0,464
12.5,1.8,16.67,37489,586.8772437,670.7168499,0,25560,5310,0,0,1319.078775,0,0,462
9.09,1.8,16.67,37489,525.7182709,1927.63366,15060,16950,11400,840,0,543.214399,826.9321942,0,464
0,1.5,33.33,36917,580.16106,881.8448112,53100,34620,16320,6630,1050,2566.666611,1275.563807,0,464
3.45,1.5,11.76,36357,1711.149768,1779.595758,0,26370,11430,0,0,3406.920579,0,0,464
0,1.6,30,37860,1670.747787,2116.28053,0,6180,17100,0,0,3214.368999,0,0,464
0,0,0,0,0,0,30,2550,11970,4770,330,0,0,0,464
5.88,1.6,11.11,37860,388.1524562,3909.249738,0,14640,21660,37470,19560,3196.024823,7668.028165,0,463
0,1.5,32.35,35926,788.6052614,1339.14101,6360,47790,71910,36030,11970,4283.69298,9662.35618,0,464
0,1.5,0,35000,1385.638741,2078.458112,0,570,10680,0,0,1708.096452,0,0,464
0,0,0,0,0,0,0,1650,90,0,0,0,0,0,464
