,OBJECTID,2019 Unemployed Population 16+: Percent,2014-2018 ACS Average Number of Vehicles,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,2019 Median Household Income,2019 Average Household Income,Household_Density,Total_Pop_Density,Day_Pop_Density,Undeveloped_Sq_Meters,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,Shape_Length,Shape_Area,Net_Passengers
0,1,0.0,1.4,14.29,50000,68372,4147.896912,7422.552369,3274.655457,0.0,6390.0,5520.0,0.0,0.0,1600.9418640000001,0.0,0.0,0.0,0.0,0.004439405,1.17e-06,0.0
1,2,4.76,1.5,25.0,32201,60340,2411.921386,5359.825302,2813.908284,0.0,1980.0,13020.0,4020.0,330.0,2580.071872,0.0,0.0,0.0,0.0,0.005956429,1.91e-06,0.0
2,3,0.0,2.0,0.0,0,56313,148.8809212,148.8809212,595.5236846,0.0,2640.0,6690.0,8250.0,0.0,0.0,1470.589112,0.0,0.0,0.0,0.005282021,1.72e-06,0.0
3,4,9.68,1.3,37.5,25000,31759,3410.2832229999995,10823.9424,6968.839629000001,0.0,900.0,13560.0,3000.0,0.0,2975.910839,0.0,0.0,0.0,0.0,0.005513601999999999,1.73e-06,0.0
4,5,0.0,0.0,0.0,0,0,0.0,0.0,1380.531093,0.0,0.0,1020.0,5520.0,12210.0,0.0,3004.823393,0.0,8.0,6.0,0.0058034259999999996,1.85e-06,2.0
5,6,0.0,1.2,33.33,21429,32777,1860.804092,1488.643274,1581.683478,0.0,6360.0,10980.0,8100.0,2340.0,1923.5881539999998,1863.203775,0.0,11.0,11.0,0.006845139,2.75e-06,0.0
6,7,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,8520.0,2910.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00489407,1.24e-06,0.0
7,8,14.29,1.4,22.22,28747,64362,2094.6009670000003,1954.9609030000001,2373.881096,0.0,4440.0,9270.0,3300.0,1410.0,895.5634279,1190.233631,0.0,0.0,0.0,0.005514583000000001,1.83e-06,0.0
8,9,6.45,1.5,26.32,31005,59631,886.7555267999999,2660.26658,1418.808843,420.0,47130.0,8340.0,2550.0,0.0,2161.680435,0.0,722.7574245,0.0,0.0,0.012730206,5.77e-06,0.0
9,10,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,480.0,930.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034820259999999996,1.69e-07,0.0
