2019 Unemployed Population 16+: Percent,2014-2018 ACS Average Number of Vehicles,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,2019 Median Household Income,2019 Average Household Income,Household_Density,Total_Pop_Density,Day_Pop_Density,Undeveloped_Sq_Meters,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,Shape_Length,Shape_Area,Net_Passengers
0,1.4,14.29,50000,68372,4147.896912,7422.552369,3274.655457,0,6390,5520,0,0,1600.941864,0,0,0.004439405,1.17E-06,0
4.76,1.5,25,32201,60340,2411.921386,5359.825302,2813.908284,0,1980,13020,4020,330,2580.071872,0,0,0.005956429,1.91E-06,0
0,2,0,0,56313,148.8809212,148.8809212,595.5236846,0,2640,6690,8250,0,0,1470.589112,0,0.005282021,1.72E-06,0
9.68,1.3,37.5,25000,31759,3410.283223,10823.9424,6968.839629,0,900,13560,3000,0,2975.910839,0,0,0.005513602,1.73E-06,0
0,0,0,0,0,0,0,1380.531093,0,0,1020,5520,12210,0,3004.823393,0,0.005803426,1.85E-06,2
0,1.2,33.33,21429,32777,1860.804092,1488.643274,1581.683478,0,6360,10980,8100,2340,1923.588154,1863.203775,0,0.006845139,2.75E-06,0
0,0,0,0,0,0,0,0,0,8520,2910,1050,0,0,0,0,0.00489407,1.24E-06,0
14.29,1.4,22.22,28747,64362,2094.600967,1954.960903,2373.881096,0,4440,9270,3300,1410,895.5634279,1190.233631,0,0.005514583,1.83E-06,0
6.45,1.5,26.32,31005,59631,886.7555268,2660.26658,1418.808843,420,47130,8340,2550,0,2161.680435,0,722.7574245,0.012730206,5.77E-06,0
0,0,0,0,0,0,0,0,0,480,930,480,0,0,0,0,0.003482026,1.69E-07,0
0,1.2,0,0,65522,14.2704089,49.94643117,4723.505347,55440,46530,69990,77850,112770,503.8441694,57293.26788,0,0.033852907,3.59E-05,0
0,0,0,0,0,0,0,0,71310,166080,10110,9300,9360,0,0,1332.527022,0.034261777,2.63E-05,0
0,0,0,0,0,0,0,0,0,540,6300,510,0,0,0,0,0.007038448,7.26E-07,0
0,1.4,13.89,46842,68371,2220.435784,5154.58307,2458.339618,0,9390,20160,3120,0,4569.233193,0,0,0.009106419,3.23E-06,0
0,1.4,14.29,45382,68372,4755.565047,4579.433008,5812.35728,0,0,7320,6420,960,821.9857675,1028.542444,0,0.005301764,1.45E-06,2
0,1.6,7.69,36480,50906,1679.893565,2771.824383,1805.885583,0,85410,35040,1890,1020,6691.196135,210.0430497,0,0.019528005,1.22E-05,0
0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0.001294041,7.27E-08,0
7.14,1.9,6.67,75000,86765,1318.501758,2637.003516,1494.301993,0,15120,14340,0,0,3315.305121,0,0,0.007124891,2.91E-06,0
0,0,0,172075,183703,87.98980431,263.9694129,162.4427156,273240,87660,13020,8670,0,6689.845319,362.331669,0,0.032333488,3.78E-05,0
0,2.1,7.99,82168,88345,363.0137655,907.5344137,378.6995455,1213110,944910,120270,26370,6690,61226.15707,1521.262656,288.710506,0.096405621,0.000228452,0
0,0,0,0,0,0,0,0,0,0,300,2220,5670,0,5364.534821,0,0.003937269,8.14E-07,1
0,0,0,0,0,0,0,11148.0958,0,0,0,1200,10920,0,4123.634759,0,0.004418833,1.19E-06,1
0,0,0,0,0,0,0,61406.49085,0,0,360,3840,14400,0,8333.684705,0,0.006179612,1.84E-06,2
0,0,0,0,0,0,0,22018.38861,0,0,0,9540,4020,0,1863.204495,0,0.00480816,1.34E-06,2
0,0,0,0,0,0,0,0,0,0,0,720,180,0,0,0,0.00198,8.7E-08,0
10,2.2,12.5,68533,108299,788.1173479,2251.763851,1238.470118,0,16050,7050,0,0,1659.842103,464.9288902,0,0.005749068,2.27E-06,0
