Percent unemployed,Vehicles per household,Median Income,Household Density,Day population density,Percent below poverty level,Residential Area,Commerical/Industrial/MU Area,Other Area,Undeveloped Area,Developed Open Space Area,Developed Low Intensity Area,Developed Medium Intensity Area,Developed High Intensity Area,Building Count Commercial/Industrial/MU,Building Count Other,Building Count Residential,Median Contract Rent,Median Gross Rent,Net Passengers
17.05,0,10253,2319.072478,6917,61.03,43328.21233,230287.3518,9723.105053,122370,34590,383940,627390,842010,93,11,89,248,307,0
16.99,0,10253,2319.072514,6092.5,61.03,46783.09204,237495.9589,4678.061766,96300,36270,391560,650310,835440,94,3,92,248,307,1
16.59,0,10362,2347.416712,7933.5,60.05,41035.55476,268977.1486,14996.26507,27600,34530,376980,631530,939540,105,12,86,249,308,0
16.27,0,10522,2422.142385,7486.5,59.13,46783.09204,233709.5939,10960.16068,50670,36780,394080,672270,856860,92,4,92,259,311,0
16.31,0,10522,2422.142378,7446.5,59.13,46783.09204,282058.5749,15334.74213,64020,49050,400770,689580,807240,88,4,92,259,311,0
16.31,0,10522,2422.142391,6774,59.13,47477.94672,194108.2735,4621.105808,175710,92250,456540,672780,612720,72,2,93,259,311,0
16.23,0,10528,2423.430752,11892.6,59.13,46057.7537,195453.3954,4621.105808,283110,121230,476340,629340,500640,63,2,93,259,311,0
16.31,0,10522,2422.142397,6404.3,59.13,46783.09204,234361.7149,4621.105808,164310,83910,449760,673260,638640,78,2,92,259,311,0
16.31,0,10522,2422.142378,7446.5,59.13,46783.09204,281228.1591,15334.74213,66480,48060,399840,686550,808980,88,4,92,259,311,0
16.31,0,10522,2422.142378,10739.5,59.13,46783.09204,290406.414,15334.74213,17730,47790,399720,703860,841080,91,4,92,259,311,0
15.5,0,10864,2558.71,15952.1,59.1,48608.44046,214101.5825,23908.28031,114810,130710,491220,669060,604110,71,5,94,259,311,0
15.48,0,10883,2482.695957,16154.3,59.07,41716.47846,211231.7746,29775.39554,240690,141330,475980,629610,523440,65,8,73,259,311,0
0,0,10389,242.2142369,2036.8,55.22,12387.88369,112453.2885,6234.169024,173010,128790,515640,581310,611610,85,12,63,282,293,0
0,0,10389,240.9258664,2022.7,55.22,12387.88369,123025.8978,24044.65136,193440,119790,457830,574230,665160,88,12,63,282,293,0
0,0,10389,240.9258658,2022.7,55.22,12387.88369,136827.4747,27545.2141,182520,113160,447750,566010,700980,94,15,63,282,293,0
0,0,10389,240.9258658,1953.1,55.22,12387.88369,123320.683,24044.65136,163710,125730,508440,584580,627840,87,12,63,282,293,0
0,0,10389,240.9258639,1823,55.22,10786.30942,149865.2437,32265.15126,225240,99420,377700,537570,770700,101,16,61,282,293,0
0,0,10423,243.5026136,1682.6,55.17,12387.88369,138318.3668,22336.6272,137310,206550,609270,560490,496440,78,12,63,282,293,0
0,0,10423,243.502613,1682.6,55.17,12387.88369,138318.3668,22336.6272,147210,208620,610860,561480,482130,78,12,63,282,293,0
13.84,0,11663,2909.147643,21772.7,54.72,53652.21351,253756.6456,30093.49306,12690,42150,385050,677520,892500,108,8,95,293,322,0
14,0,11600,2880.803378,17629.5,54.69,47477.94672,263514.0653,28204.47305,10710,74520,424230,691410,809370,92,7,93,293,322,0
13.5,0,11856,2998.045376,24078.8,54.21,53652.21351,262643.0121,34044.99794,11370,37560,378960,674130,908400,115,9,95,296,324,0
0,0,10815,258.9630984,1352.7,54.13,9737.048767,136875.1688,27832.14634,182460,261750,578640,504450,483210,63,21,64,287,314,0
0,0,10846,121.1071195,1884.8,53.92,9698.93884,147049.4526,32265.15126,195690,96810,393210,542280,782250,102,16,65,286,310,0
0,0,10935,246.0793615,1330.8,53.85,10342.08354,115851.9538,32697.65757,156780,259740,578340,512130,503340,65,23,67,288,315,0
11.59,0,12115,3130.747878,32044.6,53.16,57605.31029,300748.0051,50398.98223,8970,37260,343830,587160,1033530,138,19,97,304,328,0
0,1,11932,90.1861532,1141.5,52.56,13266.67163,127795.9851,32544.44666,130350,276990,590430,493650,518880,67,21,75,310,394,0
0,0,10919,255.0979772,2089.7,52.34,15261.21815,115732.217,22038.04862,75630,180390,630240,634500,489600,101,14,72,284,294,0
0,0,11085,256.3863508,2125.7,52.34,15261.21815,144811.6655,2099.041302,113460,127230,568890,601620,598920,98,9,72,284,294,0
0.72,0,11387,267.9817106,2047.2,52.09,15261.21815,152610.3862,2543.318569,117720,126120,561990,597750,606210,99,11,72,285,294,1
12.66,0,12224,3143.631589,25535.9,52.01,53342.70307,302065.397,36181.13297,6390,30090,347190,602190,1024260,140,15,93,306,330,0
10.72,0,12683,2553.556496,30457.4,51.22,54942.08216,324262.0552,50228.09188,7590,28860,314250,570360,1089180,147,18,96,312,335,0
0.91,1,12292,152.0280878,2067.8,51.13,12846.1535,148062.4882,33432.40477,225030,104130,395190,514110,771840,99,15,92,321,413,0
0.62,0,11848,280.8654503,2215.9,50,20805.00043,139894.5991,3594.362317,72690,172800,616590,610980,537030,127,13,104,288,297,0
0.62,0,11848,279.577072,2331.9,50,16736.44924,130574.3094,3594.362317,70860,175620,624750,623460,515070,112,13,81,288,297,0
10.52,0,13027,2643.742656,37864,49.75,53635.75257,338290.5662,50766.04996,7590,29790,310110,580350,1082010,153,20,85,320,341,0
11.43,0,13017,2825.403324,21019.1,48.28,52726.96458,275726.4643,32881.57863,6360,31620,350670,658740,962970,131,18,102,321,342,0
1.3,1,15128,99.20476865,1768.9,47.78,11028.4412,160863.1914,34163.32062,210600,114600,376770,559890,748440,105,19,83,400,675,0
1.3,1,15128,99.20476788,1877.1,47.78,9694.418771,134780.6407,33920.10554,214500,139950,363450,582870,709380,102,18,73,400,675,0
1.27,1,15000,100.4931421,2029.1,47.25,12070.31721,157152.4654,34053.96831,198510,111090,387480,549150,764190,104,18,87,400,670,0
9.46,0,14075,2331.956253,38390.9,47.23,59820.54104,356597.0393,50766.04996,7590,23190,263850,588870,1127460,165,20,76,336,362,0
9.42,0,13957,2344.840016,30602.9,47.11,59934.3312,336016.2088,43808.6143,7590,21090,270660,552540,1159050,161,18,86,334,355,0
1.49,1,15915,83.74428501,1569.2,46.75,9888.525906,127581.5463,33512.3863,236280,207300,387810,577980,600900,100,17,75,525,712,0
9.79,0,14016,2349.993447,37741.6,46.75,49870.18451,354987.7812,50595.15961,7590,23880,276480,561360,1140870,161,19,81,339,368,0
9.33,0,14088,2368.030684,28707.8,46.69,60420.30776,337329.8215,43808.6143,7590,20460,261660,559350,1161360,167,18,84,336,362,0
9.38,0,14180,2429.872661,37338.3,46.57,58688.76919,345251.5448,50595.15961,7590,22200,271440,559680,1149030,159,19,82,341,374,0
11.24,1,16148,194.5444167,1444.2,46.51,12513.07245,127783.3155,36240.40518,84240,325530,569640,501420,529410,79,27,55,404,605,0
1.4,1,15692,202.2746592,2520,46.49,15351.45333,129567.2556,15998.87554,234120,241440,400410,574200,560040,104,16,90,531,714,0
1.2,1,15710,108.2233843,1707,46.46,12667.86454,128131.826,34753.12022,225300,225120,398040,579630,582210,101,18,85,538,718,0
1.2,1,15678,239.6374934,2209.5,46.36,20366.41051,161429.1171,42577.9357,101940,217380,458760,590100,641910,113,23,121,538,715,0
1.2,1,15678,239.6374912,2209.5,46.36,19202.99767,138551.5407,42577.9357,102720,209070,447780,595710,655080,109,23,114,538,715,0
1.38,1,15673,204.8514057,1962.1,46.28,14511.03813,131724.0985,36163.54089,161550,213210,422790,599550,613200,105,20,91,538,715,0
1.09,1,15628,260.2514693,2164.4,46.03,24680.99236,163343.822,44689.38159,60420,224910,500190,575040,649470,118,26,135,535,715,0
1.31,1,15644,215.1583924,1960.8,45.96,17926.65264,136598.6246,42577.9357,111570,205230,438060,610110,645450,108,23,106,531,716,0
1.31,1,15706,213.8700193,2634.6,45.92,19368.79962,120973.1957,23059.59477,207150,256380,437280,586260,523320,109,18,115,531,716,0
7.46,1,16293,342.7073817,2286.8,45.86,28845.57147,159466.9705,46288.38943,38700,226590,536880,572460,636060,115,32,139,486,697,0
9.3,0,14372,2389.933032,28125.5,45.12,60818.00864,329748.8669,32307.15902,7590,20340,262380,564090,1156470,165,17,86,342,377,0
8.98,0,14800,1905.504572,37007.2,45.1,55867.93487,346231.7205,62473.92408,7590,30240,275280,604980,1092570,162,22,69,358,401,0
8.98,0,14800,1905.50457,37007.2,45.1,55667.74617,346136.458,62473.92408,7590,29640,267540,609630,1096080,162,22,68,358,401,0
11.01,0,13505,2003.420962,17106.4,45.02,59844.29025,263245.9888,26124.6773,6360,31470,356910,650820,964680,131,15,142,334,358,0
8.63,0,15029,1985.383741,37468.4,44.95,56803.89898,351589.4884,50766.04996,7590,25230,264390,599010,1114230,168,20,72,364,406,0
10.23,1,16590,327.2468979,1936.4,44.9,28268.63424,148290.9044,43580.35194,24930,260280,582690,560850,581820,98,34,155,462,676,0
11.17,1,16652,217.7351405,1752.1,44.83,15563.11367,129627.5332,36266.90681,65160,306930,582960,515550,539640,82,27,72,468,682,0
11.74,1,16758,371.0515984,1770.2,44.76,31097.91956,137643.8867,47139.02747,48420,277890,601410,534420,548040,84,50,182,451,664,1
10.86,0,13522,1403.038869,13807,44.75,59266.36153,269984.2416,22806.37638,6270,28470,355200,632250,987990,134,15,154,329,349,0
8.48,0,15244,2013.727948,38339.3,44.54,54090.78522,346603.45,62473.92408,7590,30810,261540,612930,1097910,162,22,65,381,413,0
11.11,1,16709,654.4938017,2597.3,44.42,46540.13954,99482.22746,34876.73123,129240,456330,648480,518820,257040,96,66,285,451,658,0
8.42,0,15393,2051.090791,36705.7,43.97,54217.07359,351390.0116,43808.6143,7590,20340,244260,577410,1160670,172,18,59,399,423,0
14.21,1,17083,891.5545373,2675.9,43.93,60141.12867,85775.69174,37371.49782,122220,455190,740460,495000,198000,74,95,345,442,635,0
8.54,0,15593,1933.848799,37959.3,43.72,52832.91369,326013.351,64680.3516,7590,38730,260880,617910,1085400,155,23,62,404,426,0
8.23,0,15859,1909.369701,37477.5,43.67,63479.06499,343485.8209,58934.26522,7590,21030,245010,639210,1097250,170,21,57,407,429,0
8.23,0,15859,1909.369678,37912.9,43.67,54932.45285,348282.1406,50766.04996,7590,20820,238050,638040,1105440,173,20,55,407,429,0
15.13,1,17176,1028.122143,2203,43.66,69593.48695,68478.91532,38303.38492,109350,484230,818460,454050,143970,69,98,402,439,624,0
8.27,0,15599,2017.593092,37599.8,43.65,53937.82348,351982.2647,50766.04996,7590,20970,241410,602790,1137450,170,20,58,405,429,0
15.27,1,17195,1043.582643,2348.6,43.63,70882.7947,74663.8159,36755.41729,136350,499290,793350,438990,142410,65,97,414,440,623,0
8.26,0,15637,2007.28609,36489.3,43.58,52859.26318,352823.025,43808.6143,7590,20340,238920,580710,1162440,176,18,56,406,430,1
15.54,1,17216,1064.196591,2349.9,43.57,74403.18364,75360.60517,36684.94458,124320,495330,805290,439290,146250,69,96,434,438,620,0
15.79,1,17273,1105.424562,2409.2,43.54,77491.70531,79754.17746,36952.4023,88260,485580,844080,440070,152250,77,98,456,437,615,1
8.43,0,15633,1832.067286,36815.3,43.48,52116.19826,312870.5388,69389.62103,8970,46290,291270,627540,1036110,151,24,62,409,431,0
0.93,1,13511,328.535277,3072.7,43.45,20629.19076,160476.8112,3766.590197,87570,122550,560190,621210,618660,110,15,98,294,339,0
16.72,1,17433,1109.289671,2481.3,43.38,78766.09063,89333.61109,33918.98831,70500,465810,852810,459630,161430,81,96,475,435,609,1
18.11,1,17670,1061.619859,2383.4,42.98,75303.83442,105706.9913,32130.99989,167490,449040,825210,413400,155460,83,95,459,433,597,0
7.84,0,16349,2034.341931,37348.6,42.96,51308.66359,364702.4867,43808.6143,7590,19830,229110,608010,1145490,180,18,51,419,443,0
18.06,1,17644,1073.21523,2405.3,42.94,78565.2783,106574.3716,34089.87609,87060,468810,855150,444000,155340,84,97,479,433,598,0
18.06,1,17644,1073.215233,2405.3,42.94,80029.78367,105829.6083,34089.87609,100110,468570,851340,435330,155010,83,97,487,433,598,0
18.91,1,17886,940.512749,2066.5,42.8,70611.69852,92219.31387,25070.28066,288720,404340,782760,387600,146670,74,93,426,431,592,0
19.12,1,17893,979.1639452,2081.9,42.74,66938.20746,89113.72376,24523.14812,331080,376710,777990,386280,138240,68,92,411,430,592,0
19.04,1,17910,972.7220809,2078.1,42.68,63534.48333,87968.84977,24370.4607,376500,379080,752280,367350,135090,68,91,384,432,592,0
19.12,1,17874,979.1639415,2110.3,42.63,67750.65799,111989.2092,23359.07842,317370,321060,796110,393930,182070,102,90,432,432,591,0
0.95,1,17071,274.4235794,2815,42.56,22243.79401,115609.9673,25705.83248,212370,310950,452610,570840,463200,117,16,134,602,719,0
0.95,1,17071,274.4235766,2815,42.56,22068.6645,115885.2991,26423.97476,201870,306870,460140,577500,464340,118,17,133,602,719,0
15.62,1,17929,1549.913459,4971.7,42.42,109722.7965,136705.4385,6043.787224,38700,243450,888390,527820,311700,185,11,780,399,458,0
19.72,1,17913,921.187141,2105.1,42.38,65843.72505,103277.0054,20309.11269,281910,290880,792570,428700,215970,105,75,427,431,589,0
7.91,0,16757,1837.220778,38175.7,42.35,62620.13072,345776.3708,62473.92408,7590,22290,243330,637890,1098870,169,22,60,433,467,0
