2019 Median Household Income,2019 Unemployed Population 16+: Percent,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,2019 Total Daytime Population,2014-2018 ACS Average Number of Vehicles,2019 Total Households,Housing_Density,Daytime_Pop_Density,Shape_Area_sqmi,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,Undeveloped_Sq_Meters,Building_Count_Com_Ind_MU,Building_Count_Other,Building_Count_Residential,Median Contract Rent,Median Gross Rent
10333,16.75,60.58,6078,0,1065,1372.117899,7830.734828,0.776172369,6720,12900,17160,12840,15131.35338,112291.5812,8176.349761,17280,69,8,18,249,307
10481,15.6,59.51,5141,0,335,431.6051624,6623.528775,0.776172366,6270,12270,17940,13140,10834.25121,125767.8569,19714.6106,17250,71,10,10,252,308
10522,16.31,59.13,5780,0,1880,2422.142392,7446.799481,0.77617237,1680,13320,22950,27000,46783.09275,284745.202,15334.74213,2160,99,4,93,259,311
10522,16.31,59.13,5258,0,1880,2422.142398,6774.268473,0.776172368,3060,15120,22380,20430,47477.94743,214174.6954,4621.105808,5910,87,2,94,259,311
10528,16.23,59.13,9231,0,1881,2423.430784,11892.97691,0.776172364,4050,15870,20970,16710,46057.75441,196780.4235,4621.105808,9510,78,2,94,259,311
10522,16.31,59.13,4971,0,1880,2422.142399,6404.505248,0.776172367,2820,14970,22470,21360,46783.09275,244832.4523,4621.105808,5550,90,2,93,259,311
10522,16.31,59.13,5780,0,1880,2422.142403,7446.799517,0.776172366,1680,13290,22830,27060,46783.09275,281228.1587,15334.74213,2250,98,4,93,259,311
10522,16.31,59.13,8336,0,1880,2422.142384,10739.8824,0.776172372,1620,13230,23340,28050,46783.09275,302977.4493,15334.74213,630,104,4,93,259,311
10961,15.17,58.77,10391,0,1726,2223.732869,13387.49029,0.776172365,4860,15600,19500,15090,37272.29527,182818.008,22899.51139,11970,70,6,66,260,311
10655,15.83,58.21,5966,0,1262,1625.927508,7686.437014,0.776172366,5910,14490,17190,11130,22063.71188,172525.0435,391.1068842,18390,64,2,36,267,312
10773,15.45,57.64,8051,0,1196,1540.894829,10372.69587,0.776172376,6510,14550,17340,11070,23009.92344,113829.6172,5213.217505,17400,58,4,31,271,314
10423,0,55.17,1306,0,189,243.5026123,1682.615935,0.776172371,6990,20310,18780,16080,12387.88369,138318.367,22336.6272,4920,83,12,63,282,293
10423,0,55.17,1306,0,189,243.5026148,1682.615952,0.776172363,6930,20190,18720,16530,12387.88369,138318.367,22336.6272,4470,83,12,63,282,293
11663,13.84,54.72,16900,0,2258,2909.147628,21773.51414,0.776172367,1440,12810,22680,29820,53652.21422,258006.9889,30093.49306,420,121,8,96,293,322
11661,13.84,54.72,15785,0,2256,2906.570846,20336.9773,0.776172376,2400,13980,22560,27660,47477.94743,232715.3194,34991.01836,390,110,8,94,293,322
11600,14,54.69,13684,0,2236,2880.803424,17630.10468,0.776172363,2490,14100,23040,27120,47477.94743,274752.8061,28204.47305,360,108,7,94,293,322
11856,13.5,54.21,18690,0,2327,2998.045398,24079.70283,0.776172369,1290,12600,22410,30210,53652.21422,267266.6743,34044.99794,360,129,9,96,296,324
10815,0,54.13,1050,0,201,258.9630967,1352.792296,0.776172368,8760,19200,16710,16110,9737.048767,136875.1689,27832.14634,6030,68,21,64,287,314
10935,0,53.85,1033,0,191,246.0793589,1330.889936,0.776172373,8730,19260,16830,16800,10342.08354,119745.7734,32697.65757,5190,70,23,67,288,315
12115,11.59,53.16,24873,0,2430,3130.747865,32045.71673,0.776172373,1260,11400,19440,34770,57605.311,303691.0353,50398.98223,270,150,19,98,304,328
11932,0,52.56,886,1,70,90.18615236,1141.499014,0.776172374,9270,19620,16320,17340,13266.67163,131689.8053,32544.44666,4320,73,21,75,310,394
10919,0,52.34,1622,0,198,255.0979763,2089.742008,0.776172367,6060,20940,21150,16470,15261.21815,115732.2179,22038.04862,2520,105,14,72,284,294
12224,12.66,52.01,19821,0,2440,3143.631643,25536.8536,0.776172363,1020,11580,20010,34290,53342.70378,302321.7988,36181.13297,210,153,15,94,306,330
12683,10.72,51.22,23641,0,1982,2553.556519,30458.4408,0.776172364,990,10440,18840,36330,54942.08287,324872.0566,50228.09188,240,159,18,97,312,335
11848,0.62,50,1720,0,218,280.865449,2216.002625,0.776172366,5820,20520,20370,18030,20805.00043,139894.5921,3594.362317,2430,132,13,104,288,297
11848,0.62,50,1810,0,217,279.5770772,2331.956266,0.776172361,5880,20820,20850,17220,16736.44924,130574.3103,3594.362317,2370,117,13,81,288,297
13027,10.52,49.75,29390,0,2052,2643.742664,37865.30063,0.776172367,1020,10350,19140,36330,53635.75328,338290.5699,50766.04996,240,165,20,86,320,341
13017,11.43,48.28,16315,0,2193,2825.403323,21019.81542,0.776172372,1080,11700,21840,32100,52726.96529,275726.4673,32881.58039,210,143,19,103,321,342
14016,9.79,46.75,29295,0,1824,2349.993488,37742.90529,0.776172363,840,9150,18510,38070,49870.18522,354987.785,50595.15961,240,173,19,82,339,368
16148,11.24,46.51,1121,1,151,194.5444151,1444.266817,0.776172371,10890,19020,16680,17730,12513.07245,127783.3163,36240.40518,2820,84,27,55,404,605
15692,1.4,46.49,1956,1,157,202.2746582,2520.058798,0.776172366,8070,13410,19080,18540,15351.45333,129567.2539,15998.87554,7770,110,16,90,531,714
15710,1.2,46.46,1325,1,84,108.2233839,1707.095043,0.776172367,7470,13290,19380,19320,12667.86454,128131.8243,34753.12022,7440,107,18,85,538,718
15678,1.2,46.36,1715,1,186,239.6374919,2209.560746,0.77617237,7290,15360,19530,21390,20366.41051,161429.1185,42577.9357,3360,119,23,121,538,715
15678,1.2,46.36,1715,1,186,239.6374906,2209.560733,0.776172374,6990,15030,19770,21660,19202.99767,138942.637,42577.9357,3420,116,23,114,538,715
15673,1.38,46.28,1523,1,159,204.851404,1962.193008,0.776172371,7140,14100,19950,20310,14511.03813,131724.0969,36163.54089,5400,112,20,91,538,715
15628,1.09,46.03,1680,1,202,260.2514694,2164.467666,0.776172371,7530,16740,18990,21600,24680.99236,163343.8243,44689.38159,2040,125,26,135,535,715
15644,1.31,45.96,1522,1,167,215.1583948,1960.904652,0.776172364,6870,14700,20250,21450,17926.65264,136598.6247,42577.9357,3690,115,23,106,531,716
15706,1.31,45.92,2045,1,166,213.87002,2634.724041,0.776172369,8610,14640,19410,17310,19368.79962,120973.1946,23059.59477,6870,114,18,115,531,716
16293,7.46,45.86,1775,1,266,342.7073854,2286.863192,0.77617236,7590,17970,18930,21180,28845.57147,159466.9725,46288.38943,1260,123,32,139,486,697
14800,8.98,45.1,28725,0,1479,1905.504576,37008.53208,0.776172369,1050,9090,20010,36660,55867.93558,346231.7102,62473.92408,240,174,22,70,358,401
13505,11.01,45.02,13278,0,1555,2003.420972,17107.02486,0.776172368,1050,11940,21630,32280,59844.29096,283075.0359,26124.67905,210,147,16,143,334,358
13497,11.01,45.02,13259,0,1554,2002.132575,17082.54557,0.776172377,1050,11790,21870,31860,59313.82523,280755.1389,30623.45864,210,147,17,139,334,358
15029,8.63,44.95,29083,0,1541,1985.383746,37469.76995,0.776172366,840,8610,19830,37350,56803.89969,351589.4782,50766.04996,240,180,20,73,364,406
16590,10.23,44.9,1503,1,254,327.2469007,1936.425558,0.776172362,8670,19380,18630,19410,28268.63424,148290.9064,43580.35194,840,106,34,155,462,676
16652,11.17,44.83,1360,1,169,217.7351405,1752.188113,0.77617237,10260,19470,17190,18060,15563.11367,129627.534,36266.90681,2160,87,27,72,468,682
16758,11.74,44.76,1374,1,288,371.0515993,1770.225338,0.776172372,9300,20130,17760,18300,31097.91956,137660.2915,47139.02791,1620,91,51,182,451,664
13522,10.86,44.75,10717,0,1089,1403.038864,13807.50001,0.77617237,960,11820,21090,32970,59266.36153,289813.2804,22806.37814,210,151,16,154,329,349
15244,8.48,44.54,29759,0,1563,2013.727973,38340.71066,0.776172363,1020,8700,20250,36810,54090.78593,346603.4391,62473.92408,240,173,22,66,381,413
16709,11.11,44.42,2016,1,508,654.4937938,2597.361197,0.776172371,15330,21630,17250,8520,46540.13934,99482.22861,34876.73119,4320,100,67,285,451,658
15393,8.42,43.97,28491,0,1592,2051.090795,36707.05266,0.776172368,690,8070,19170,38880,54217.0743,352000.0131,43808.6143,240,185,18,60,399,423
17083,14.21,43.93,2077,1,692,891.554548,2675.952018,0.776172363,15300,24690,16410,6660,60141.12847,85775.69259,37395.93025,4050,77,97,345,442,635
15593,8.54,43.72,29464,0,1501,1933.848787,37960.64002,0.776172372,1260,8700,20460,36390,52832.90729,328956.3665,64680.3516,240,167,23,63,404,426
15859,8.23,43.67,29090,0,1482,1909.369705,37478.78861,0.776172365,720,8130,21300,36780,63479.0657,343485.8106,58934.26522,240,182,21,58,407,429
15859,8.23,43.67,29428,0,1482,1909.369689,37914.25857,0.776172372,720,7890,21090,36990,54932.45356,348282.1303,50766.04996,240,185,20,56,407,429
17176,15.13,43.66,1710,1,798,1028.122138,2203.118867,0.776172373,16170,27210,14910,4860,69593.48675,68478.91617,38303.38533,3630,72,100,402,439,624
15599,8.27,43.65,29185,0,1566,2017.593076,37601.18386,0.77617237,720,7980,19950,38040,53937.82419,351982.2544,50766.04996,240,182,20,59,405,429
17195,15.27,43.63,1823,1,810,1043.582624,2348.705091,0.776172371,16710,26580,14460,4800,70882.7945,74663.81729,36755.41771,4560,67,99,414,440,623
15637,8.26,43.58,28323,0,1558,2007.286096,36490.60597,0.776172367,690,7980,19140,38880,52914.43154,353433.0265,43808.6143,240,189,18,57,406,430
17216,15.54,43.57,1824,1,826,1064.196612,2349.993487,0.776172364,16680,26760,14520,4890,74196.64118,78357.83448,36684.94499,4230,71,98,432,438,620
17273,15.79,43.54,1870,1,858,1105.424555,2409.258645,0.776172373,16230,28230,14550,5070,77491.70511,79754.17809,36952.40271,2940,78,100,456,437,615
15633,8.43,43.48,28576,0,1422,1832.067289,36816.56459,0.776172365,1590,9660,20760,34740,52116.19186,315557.1551,69389.62103,270,161,24,63,409,431
17433,16.72,43.38,1926,1,861,1109.28968,2481.407577,0.77617237,15540,28560,15300,5400,78766.09044,89333.61173,33918.98872,2310,82,98,475,435,609
17670,18.11,42.98,1850,1,824,1061.61985,2383.491167,0.776172375,14970,27600,13800,5190,75303.83423,105706.9919,32131.0003,5610,84,97,459,433,597
17644,18.02,42.96,1869,1,835,1075.791978,2407.970309,0.776172361,15660,28470,14610,5160,79922.56236,106574.3723,34089.8765,2940,85,99,486,434,597
17644,18.06,42.94,1867,1,833,1073.215212,2405.393518,0.776172375,15720,28560,14790,5190,78565.2781,106574.3723,34089.8765,2910,85,99,479,433,598
17886,18.91,42.8,1604,1,730,940.51274,2066.551281,0.776172367,13350,26040,12960,4890,70611.69833,92219.31451,25070.28108,9750,75,95,426,431,592
17893,19.12,42.74,1616,1,760,979.1639353,2082.011736,0.776172378,12630,25740,12660,4560,65596.1261,90589.43393,24523.14854,11460,70,94,403,430,592
17910,19.04,42.68,1613,1,755,972.7220863,2078.146656,0.776172363,12570,25200,12300,4500,63534.48313,87968.84977,24370.46111,12630,68,93,384,432,592
17874,19.12,42.63,1638,1,760,979.1639478,2110.355982,0.776172368,10710,26550,13140,6090,67750.6578,111989.2092,23359.07883,10590,102,92,432,432,591
17071,0.95,42.56,2185,1,213,274.423578,2815.096328,0.776172374,10440,15150,19020,15360,22243.79399,115609.9666,25705.83248,7080,123,16,135,602,719
17071,0.95,42.56,2185,1,213,274.4235826,2815.096376,0.776172361,10230,15420,19200,15420,22144.51364,115885.2983,26423.97476,6690,124,17,134,602,719
17916,19.7,42.42,1641,1,719,926.3406305,2114.221105,0.776172367,9600,27120,14100,6930,67077.8214,103189.4491,20960.27354,9330,105,79,433,431,589
17929,15.62,42.42,3859,1,1203,1549.913451,4971.833754,0.776172372,8010,29610,17610,10350,109722.7962,136705.4421,6043.787224,1230,187,11,783,399,458
16757,7.91,42.35,29632,0,1426,1837.220757,38177.08659,0.776172376,750,7980,21090,36780,62620.12432,345776.3599,62473.92408,240,180,22,61,433,467
17890,19.75,42.34,1636,1,717,923.7638896,2107.779252,0.776172362,9600,26850,14130,6990,65629.4713,113693.0797,20960.27354,9630,105,79,424,430,589
16262,8.07,42.33,21958,0,1604,2066.551285,28290.10793,0.776172366,690,7680,18720,39600,50573.39847,359116.5431,43808.6143,240,195,18,51,420,443
18060,15.55,42.27,3895,1,1214,1564.085563,5018.215212,0.776172371,8130,29940,17460,10320,110749.786,138006.8285,6201.415421,1290,186,12,793,401,459
16943,7.84,42.18,29614,0,1450,1868.14176,38153.89662,0.776172361,750,7830,21330,36960,60403.80498,349214.0895,62473.92408,240,187,22,59,438,472
27362,14.96,41.98,2241,1,598,770.4474226,2887.245274,0.776172367,5010,26790,20940,13740,92392.8922,171369.5808,16335.63737,660,179,8,641,541,790
17507,7.5,41.86,30034,0,1421,1830.778904,38695.0131,0.776172369,660,7710,21120,37110,51316.68151,350072.6565,50766.04996,240,195,20,46,455,497
18047,21.05,41.81,1040,1,344,443.2005253,1339.908565,0.776172365,8640,19620,13170,10740,41850.97701,134569.8919,694.948737,14910,103,5,263,432,582
17822,21.06,41.77,1541,1,637,820.6940032,1985.383766,0.776172358,9780,22980,12960,9840,54780.82832,121536.9958,7403.043223,11280,104,24,346,432,584
27451,14.33,41.67,2245,1,597,769.1590405,2892.398737,0.776172376,5070,26220,21450,13470,91660.24891,157001.2758,30094.15133,690,180,10,636,543,791
18131,15.71,41.61,4568,1,1283,1652.983353,5885.29069,0.776172366,4350,32400,18630,11610,119365.8053,149958.542,6320.414664,90,206,11,873,420,471
17521,20.92,41.61,1399,1,514,662.2240354,1802.43468,0.776172371,9930,21240,12900,10530,53256.58592,124487.983,1409.73315,12300,104,8,341,434,588
17562,20.99,41.52,1371,1,498,641.6100629,1766.360233,0.776172365,9930,21300,12630,10530,52256.04435,127463.6236,926.4695402,12750,99,6,335,434,586
17741,21.04,41.48,1036,1,373,480.5633576,1334.755063,0.77617237,8850,18390,12510,10680,36589.66118,113134.1287,694.948737,16770,95,5,209,434,585
17262,20.97,41.4,1910,1,398,512.7727013,2460.793617,0.776172364,9660,17760,11460,10080,38527.9912,104287.851,694.948737,18090,88,5,208,435,589
