No,TAZCE10,2019 Average Household Income,2019 Total Households,ACS Aggregate Number of Vehicles,2019 Total Daytime Population,2019 Daytime Pop: Workers,2019 Daytime Pop: Residents,2019 Daytime Pop Density,2019 Unemployment Rate,ACS Average Number of Vehicles,Shape_Area_sqmi,ACS HHs: Inc Below Poverty Level,ACS HHs: Inc Below Poverty Level: Percent,2019 Total Population,total_population_density,2019 Median Household Income,2019 Median Household Income: Index,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,Net_Passengers
1,1530,44245,50,131,1800,1733,67,3169,3.2,2,0.56799803,14,21.21,127,873555.5297,30290,50,0,0,0
2,1540,45100,66,71,1047,958,89,2879.5,1.6,1.4,0.363602172,14,28,149,1600955.384,37570,62,0,3,3
3,1350,44806,273,291,1937,1527,410,1586.1,0.7,1.4,1.221222338,56,27.32,682,2182140.542,37659,62,33,29,4
4,1510,0,0,0,1338,1338,0,6747.4,0,0,0.198323024,0,0,0,0,0,0,15,17,2
5,1360,46752,105,77,2111,1949,162,2109.5,3.1,1.5,1.000698415,6,11.76,316,1234068.795,37141,61,18,23,5
6,640,65534,207,537,1728,1523,205,454.5,4.1,1.6,3.802037996,43,12.95,504,518039.7723,47411,78,0,0,0
7,130,0,0,0,1263,1263,0,1891,0,0,0.667905139,0,0,0,0,0,0,42,49,7
8,370,14518,187,0,1114,901,213,1611.5,0,0,0.691325746,139,67.15,321,1815080.121,10389,17,158,166,8
9,870,57862,156,217,972,811,161,1169,1.1,1.7,0.831463403,16,12.4,342,1608254.771,46820,77,98,123,25
10,920,22444,67,79,1403,1271,132,2017.5,1.5,1.2,0.695353938,30,44.78,200,1124443.949,15753,26,88,56,32
11,490,33684,351,387,1567,1158,409,6201,6.2,1.1,0.252724589,137,37.95,813,12573126.31,20468,34,416,441,25
12,480,49452,312,353,674,348,326,5249.2,5,1.6,0.128448616,73,32.3,802,24404188.44,31219,52,299,355,56
13,1390,48922,471,826,1261,631,630,2263.1,6.4,1.7,0.557153767,69,13.83,1203,8441381.422,35152,58,370,416,46
14,1450,50142,78,97,3451,3344,107,7028.5,5.1,1.3,0.491035949,13,18.06,237,1887095.297,37121,61,975,906,69
15,1170,102409,331,702,585,158,427,446.6,5.2,2.3,1.310041927,7,2.27,787,2346373.082,65534,108,0,0,0
16,1160,102537,94,199,1358,1240,118,1168.9,4.7,2.3,1.161837272,2,2.27,219,736261.394,65340,108,1,10,9
17,1150,47331,506,702,787,69,718,970,4.6,1.7,0.811304785,133,31.37,1303,6273930.67,36262,60,2,2,0
