Household_Density,Daytime_Pop_Density,Percent_Unemployed,Average_Number_Vehicles,Percent_Poverty,Total_Population_density,Median_Household_Income,Undeveloped_Space_per_sqmi,Developed_Open_Spaced_sqmi,Developed_Low_Intensity_sqmi,Developed_Medium_Intensity_sqmi,Developed_High_Intensity_sqmi,Net_Passengers
88.02847432,3169,3.2,2,21.21,873555.5297,30290,0.04413123,0.12127401,0.14073345,0.14490333,0.11710413,0
181.5170675,2879.5,1.6,1.4,28,1600955.384,37570,0.00243243,0.07123545,0.11432421,0.11050182,0.06671808,3
223.5465169,1586.1,0.7,1.4,27.32,2182140.542,37659,0.32212323,0.20293416,0.28250937,0.26165997,0.15324309,4
0,6747.4,0,0,0,0,0,0.00034749,0.01007721,0.03613896,0.0764478,0.07505784,2
104.9267176,2109.5,3.1,1.5,11.76,1234068.795,37141,0.11084931,0.11397672,0.19042452,0.26652483,0.31864833,5
54.44448483,454.5,4.1,1.6,12.95,518039.7723,47411,2.6027001,0.56467125,0.32073327,0.22482603,0.08721999,0
0,1891,0,0,0,0,0,0.25505766,0.03231657,0.0555984,0.11015433,0.21857121,7
270.4947719,1611.5,0,0,67.15,1815080.121,10389,0.04204629,0.06741306,0.19389942,0.19355193,0.19528938,8
187.6210059,1169,1.1,1.7,12.4,1608254.771,46820,0.54104193,0.19355193,0.05976828,0.02849418,0.00799227,25
96.35380824,2017.5,1.5,1.2,44.78,1124443.949,15753,0.02015442,0.04378374,0.1424709,0.22378356,0.26374491,32
1388.863669,6201,6.2,1.1,37.95,12573126.31,20468,0,0.00903474,0.08999991,0.09521226,0.05872581,25
2428.986857,5249.2,5,1.6,32.3,24404188.44,31219,0,0.00173745,0.04725864,0.06150573,0.0173745,56
845.3680616,2263.1,6.4,1.7,13.83,8441381.422,35152,0.04274127,0.26999973,0.16610022,0.03544398,0.04343625,46
158.8478403,7028.5,5.1,1.3,18.06,1887095.297,37121,0.0486486,0.06150573,0.1007721,0.09277983,0.1876446,69
252.6636691,446.6,5.2,2.3,2.27,2346373.082,65534,0.71165952,0.3440151,0.17756739,0.05316597,0.02328183,0
80.90633884,1168.9,4.7,2.3,2.27,736261.394,65340,0.5803083,0.24359049,0.19424691,0.11223927,0.03301155,9
623.686695,970,4.6,1.7,31.37,6273930.67,36262,0.27521208,0.32872554,0.15776046,0.04343625,0.00521235,0
1335.739096,2852.6,5.5,1.4,38.03,14353813.99,30051,0.09416979,0.21474882,0.28077192,0.08965242,0.01528956,60
450.2877263,852.1,0.8,1.4,27.11,4417371.819,37658,0.39370617,0.25227774,0.12822381,0.02918916,0.00277992,9
515.3965615,640.7,2,1.8,16.78,4642257.508,64524,0.78046254,0.27938196,0.28598427,0.05664087,0.00243243,0
123.0122901,355.2,2.3,2,8.6,1283648.253,64776,4.78041993,1.39795227,0.34505757,0.17999982,0.05976828,0
438.2743895,1197.3,0.5,1.9,15.8,4228105.682,76771,0.85760532,0.60185268,0.29328156,0.16992261,0.08583003,0
557.9498407,2609,0.3,1.8,0,4809173.988,59728,0.1528956,0.35826219,0.19424691,0.13308867,0.06393816,10
608.541313,1039.4,7.9,1.8,13.35,5824785.168,55435,0.45799182,0.49621572,0.24845535,0.06810804,0.01355211,0
1622.982334,1784.3,0.7,1.5,3.41,12308845.59,53785,0.32420817,0.23803065,0.15498054,0.09243234,0.02988414,10
1215.123145,3388.4,2.8,1.6,23.68,9596721.091,57028,0.10667943,0.26652483,0.2606175,0.21961368,0.14907321,231
843.0145554,1312.6,1.2,2,0,9482834.533,92032,0.24081057,0.26930475,0.3023163,0.05003856,0.00104247,0
459.0494489,655.9,2.9,1.9,2.07,4737842.791,70957,0.54451683,0.22552101,0.15185313,0.01563705,0.00243243,0
526.8543086,1632.2,0.8,2,2.45,4650817.342,70713,0.66787578,0.4691115,0.2501928,0.06150573,0.02258685,0
326.0827526,657.9,0,1.8,24.62,3519118.722,52172,0.56432376,0.47362887,0.1494207,0.02814669,0.00243243,0
724.0958325,2304,2.4,1.4,11.08,7030916.88,76018,0.20988396,0.17166006,0.15602301,0.10841688,0.0312741,0
437.8245945,710.4,0,2.1,10.16,4958227.519,82454,0.15706548,0.21926619,0.1494207,0.13413114,0.08478756,0
169.0434672,395.7,2.8,0,2.36,1902828.009,76127,4.10628933,0.68490279,0.39023127,0.04586868,0.02988414,0
2.949094767,2319.9,0,1.4,0,57599.89065,42500,0.20258667,0.15567552,0.24532794,0.24289551,0.1702701,0
172.1324435,28080.9,18.8,0.9,35.92,2006204.123,24661,0.03718143,0.06393816,0.12613887,0.20536659,0.23177583,116
