,TAZCE10,2019 Average Household Income,2019 Total Households,ACS Aggregate Number of Vehicles,2019 Total Daytime Population,2019 Daytime Pop: Workers,2019 Daytime Pop: Residents,2019 Daytime Pop Density,2019 Unemployment Rate,ACS Average Number of Vehicles,Shape_Area_sqmi,ACS HHs: Inc Below Poverty Level,ACS HHs: Inc Below Poverty Level: Percent,2019 Total Population,total_population_density,2019 Median Household Income,2019 Median Household Income: Index,Undeveloped_Land_Cell,Developed_land_Cell,Undeveloped_Area_sqmi,Developed_Area_sqmi,Undev_by_total_per_sqmi,Dev_by_total_per_sqmi,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,Net_Passengers
pc1,0.21381710692315611,0.19893841150359895,0.2039269999822869,0.21806435775984656,-0.023411010765972462,-0.07691054474298677,0.19184700033647542,-0.1797423359945066,-0.08121555879723984,0.13784510753362886,0.26776585534399105,-0.00011397377415364492,-0.14671008096315033,0.2126133251513213,-0.10766046309930284,0.22573009448284295,0.22567636742691674,0.24302430135098574,0.2497129489730509,0.24302430135098574,0.2497129489730509,0.25204597896507547,-0.25156469506811563,-0.18600226192486868,-0.191121069079649,-0.17810675277062257
pc2,0.031502495307620185,-0.13763954219810737,0.3361405177054031,0.21213310902203675,0.06329228273105691,-0.04005086564675868,0.3677194972099866,-0.10970466417897565,0.24459337857575872,0.05857743051332285,-0.11166847374759817,0.4265028870519975,0.2704668902583139,0.3361130609617595,0.26310786613227805,-0.10610516140139947,-0.10616302836085752,-0.15373022194078054,0.029081268765615714,-0.15373022194078056,0.02908126876561572,-0.1748567266736938,0.17525845792848496,-0.10024547855324813,-0.09585018912681521,-0.06491787868112696
pc3,-0.07228321470753703,0.02071732322487222,0.09805591490711815,0.06688490642499062,0.3712653471674906,0.33720137467955175,0.11195787717564644,0.3456164014142388,0.07795488918470758,-0.073713721905032,0.2136183277203034,0.08407608781192448,0.05006292445048879,0.10279763765154877,0.08189571788898703,-0.031153976374128624,-0.031042693198417435,0.2003278997837814,0.18267182025606524,0.2003278997837814,0.18267182025606524,0.045904947516309504,-0.04643858194324639,0.3619126425699348,0.3564057802676152,0.3186411519389714
pc4,-0.06339447836370984,-0.4043959277050323,-0.13450570121455566,-0.1414835118981144,0.10561568097596287,0.13102428187386359,-0.0936086435197676,-0.16412496440039723,0.1725713532130135,-0.15833497015396744,0.1946773556010016,0.07470049679261623,0.14967479202535772,-0.14794570279615177,-0.21123316239744133,-0.3703913281688845,-0.37059173590206235,0.17312210473940087,0.1903570366654944,0.17312210473940082,0.19035703666549428,0.08924654009794718,-0.08841757465879199,-0.2168132654432662,-0.20756089281872966,-0.17395305650631723
pc5,0.1524717642944458,0.032454869889178645,0.005662293909545639,0.0511892160107489,0.46931982542818745,0.4836578468772207,-0.06363886749626359,-0.03975683793880928,-0.1472634911097439,0.06105144561316866,-0.13959054832016887,-0.15660731081056434,-0.17876510097699852,-0.014937091248900225,-0.20269856264179262,0.09164421978899949,0.0917654314465059,-0.24263110307063415,0.1645328501137602,-0.24263110307063415,0.1645328501137602,-0.23316296368645323,0.23314120759038376,-0.14715737809260543,-0.1371017349638217,-0.18073406344733942
pc6,-0.04209838111594682,0.22033995114578794,-0.2041996972831803,-0.12425720167541429,0.20729230770317786,0.22908187925195092,-0.0833567975654063,-0.07685176702639997,0.5269182482661704,0.26691801374900026,0.003649590939699686,0.08172464553053464,0.38871984119331326,-0.1655573564829003,0.05957210475123359,0.25181506565971506,0.2516070805178612,0.07482726059857323,-0.17826076242473954,0.07482726059857324,-0.17826076242473957,0.10312863505486497,-0.10267963842970683,-0.09850888283503005,-0.0922565292197444,-0.07571747159275931
pc7,0.11381806923201912,0.11640757614748429,0.01735272154927878,-0.4836247916810492,0.012811371462369246,-0.021693697260376572,0.1229969001048715,-0.06274957076270525,0.07627216152142484,-0.7544580294452176,0.01628963515087984,0.09434989948264194,0.005509431672230887,0.051826078004471296,0.11930294128678852,0.2180042854270387,0.2180808770005039,-0.007858947968668527,0.07253982764441777,-0.007858947968668506,0.07253982764441763,-0.05683438007261111,0.05647199887859869,-0.05781268717111908,-0.048945353786956886,-0.023857165090244627
pc8,-0.31324142962528373,0.16444110769501424,-0.1588683544719021,-0.00451401897203312,-0.15899987019858414,-0.12118938021794455,-0.1309527719558587,-0.1215650615825422,-0.07420275008650742,0.1522342875855477,0.20282828469759756,-0.09705311596212413,0.16409244045135124,-0.09923165316438357,0.303013018421665,0.06539934299541192,0.06557396951066849,0.13821517698216204,0.30598784792325967,0.13821517698216218,0.3059878479232595,-0.40815115100734606,0.40982702551836475,-0.016873007822075892,-0.013386086671443323,-0.028360895368674872
pc9,-0.5698864103701439,0.04907712725689338,0.10494490755636207,0.006113792958672693,0.2132306511736367,0.19149569461647906,0.07206073572996784,-0.019172352062689187,-0.2304599673006226,-0.09486537322976661,0.03199277028764137,-0.030302368066893074,-0.2636895771833874,0.11182811653781657,0.3513621552786118,-0.047781368501398046,-0.047743332164327294,0.14404034405109212,-0.26246254735140534,0.14404034405109203,-0.2624625473514053,0.067717447583748,-0.06592749978753096,-0.18309025604460402,-0.11947937348350743,-0.2529138522602257
pc10,0.5529685855578881,-0.1826280378738478,-0.14712122196912925,-0.08319192588138147,0.04329909567366651,0.03587660846930917,0.02538797832569109,0.012150553264771892,0.1628012408278154,0.11571962284917449,0.05625193428854249,-0.3297228023270508,-0.23191649797943434,0.04060095968099824,0.6068129136332638,-0.10399661640707819,-0.10391436844998223,0.09186847284751365,-0.05131382013561128,0.09186847284751351,-0.05131382013561128,-0.02685611084191856,0.027182615558762755,0.007538556769592973,0.002535533907221311,-0.08739579922798796
pc11,0.32435714370378693,-0.07701152793988417,-0.08429353872346168,-0.048207774824340736,0.04742360944035315,0.0788878383688839,-0.113717772994959,0.1454818371200224,-0.626762653146693,0.047653562743911713,0.0532612784727686,0.4105641668819393,0.3839503237065228,-0.1232919904931756,0.11556114223273475,0.047824771327911304,0.048654798227352414,0.10780587599757525,-0.10144480984987901,0.10780587599757523,-0.10144480984987896,-0.006948807980092598,0.007524462465627735,0.002671050839146467,0.02657134815663208,-0.21234235985463448
pc12,-0.16390360227746598,0.0015820969627324134,-0.07784543719542161,-0.1585668673129438,0.034970455336284505,0.04518121464375434,-0.03742052954064703,-0.2642404355393725,-0.18332599913162786,0.10163628029651225,-0.15256144142488412,-0.02264941529977374,0.13997453955599007,-0.040156578604125547,0.37075381389187423,-0.016114557505020576,-0.015650457967556656,-0.3031399331273321,0.2757169523008612,-0.3031399331273319,0.27571695230086113,0.375233043507791,-0.38027924910577915,0.09195376393960526,0.09240119836589393,0.048108794791360335
pc13,-0.10370075795404106,-0.02496442533003845,-0.017699489492704716,-0.010475761698045576,-0.09011271227741376,-0.1147309975227514,0.09037449231102668,0.46276595985870755,0.15032355242200882,-0.022911168780132544,-0.03473976745266499,-0.18242292344082747,0.12499061576566185,0.07056559801661433,-0.06231246908253215,0.01964927721739687,0.02059962841137551,-0.08514878544702888,0.10386370437225607,-0.08514878544702888,0.10386370437225602,0.05040403162495568,-0.04866581353623039,0.12982284786500822,0.22756057654899778,-0.7430150332933821
pc14,0.05639832657209836,0.003975607882341868,0.07726510628621361,0.048784767454313656,0.05396013038452355,0.05803190824102535,-0.015978607443042754,-0.6867207111409547,0.0009780867252949521,-0.06385193539075881,0.026929112182932306,-0.04016476924252391,0.014801052505712778,0.03551853704102087,-0.13200288816140646,-0.01977253153813059,-0.019446622836148314,0.08122278972043077,-0.11934775238260853,0.08122278972043045,-0.11934775238260859,-0.07607026573195129,0.06723972396791138,0.36620318861429807,0.46652613699397855,-0.28372743071085854
pc15,-0.019772305024926818,-0.07906035429422696,-0.10280297008840152,0.1381699970704345,-0.06641289632024822,-0.004107881505001025,-0.2209502092884067,0.027178125567850004,0.21346114837438937,0.010521829210808504,-0.0016697597662165234,0.612736404004756,-0.5555308305648597,-0.3013014947264796,0.11991712850854795,0.091270738251454,0.09114405408535356,-0.038460512164029105,0.09229616073334132,-0.03846051216402914,0.09229616073334129,0.00757542579316287,-0.007833211098983574,0.05348927964772736,0.11150744682703351,-0.15087982630617608
