No,TAZCE10,2019 Average Household Income,2019 Total Households,ACS Aggregate Number of Vehicles,2019 Total Daytime Population,2019 Daytime Pop: Workers,2019 Daytime Pop: Residents,2019 Daytime Pop Density,2019 Unemployment Rate,ACS Average Number of Vehicles,Shape_Area_sqmi,ACS HHs: Inc Below Poverty Level,ACS HHs: Inc Below Poverty Level: Percent,2019 Total Population,total_population_density,2019 Median Household Income,2019 Median Household Income: Index,Undeveloped_Land_Cell,Developed_land_Cell,Undeveloped_Area_sqmi,Developed_Area_sqmi,Undev_by_total_per_sqmi,Dev_by_total_per_sqmi,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,Net_Passengers
1,1530,44245,50,131,1800,1733,67,3169,3.2,2,0.56799803,14,21.21,127,873555.5297,30290,50,124,1509,0.04308876,0.52436241,0.07586075607,0.9231764589,0,0,0
2,1540,45100,66,71,1047,958,89,2879.5,1.6,1.4,0.363602172,14,28,149,1600955.384,37570,62,7,1040,0.00243243,0.3613896,0.006689811523,0.9939148548,0,3,3
3,1350,44806,273,291,1937,1527,410,1586.1,0.7,1.4,1.221222338,56,27.32,682,2182140.542,37659,62,930,2591,0.3231657,0.90034659,0.2646247861,0.737250345,33,29,4
4,1510,0,0,0,1338,1338,0,6747.4,0,0,0.198323024,0,0,0,0,0,0,1,568,0.00034749,0.19737432,0.001752141496,0.9952163698,15,17,2
5,1360,46752,105,77,2111,1949,162,2109.5,3.1,1.5,1.000698415,6,11.76,316,1234068.795,37141,61,319,2560,0.11084931,0.8895744,0.1107719452,0.8889535415,18,23,5
6,640,65534,207,537,1728,1523,205,454.5,4.1,1.6,3.802037996,43,12.95,504,518039.7723,47411,78,7476,3460,2.59783524,1.2023154,0.6832744025,0.3162291911,0,0,0
7,130,0,0,0,1263,1263,0,1891,0,0,0.667905139,0,0,0,0,0,0,734,1187,0.25505766,0.41247063,0.3818770737,0.617558701,42,49,7
8,370,14518,187,0,1114,901,213,1611.5,0,0,0.691325746,139,67.15,321,1815080.121,10389,17,106,1876,0.03683394,0.65189124,0.0532801508,0.9429581406,158,166,8
9,870,57862,156,217,972,811,161,1169,1.1,1.7,0.831463403,16,12.4,342,1608254.771,46820,77,1560,831,0.5420844,0.28876419,0.6519642332,0.3472963319,98,123,25
10,920,22444,67,79,1403,1271,132,2017.5,1.5,1.2,0.695353938,30,44.78,200,1124443.949,15753,26,68,1940,0.02362932,0.6741306,0.03398171594,0.9694783666,88,56,32
11,490,33684,351,387,1567,1158,409,6201,6.2,1.1,0.252724589,137,37.95,813,12573126.31,20468,34,0,728,0,0.25297272,0,1.000981824,416,441,25
12,480,49452,312,353,674,348,326,5249.2,5,1.6,0.128448616,73,32.3,802,24404188.44,31219,52,0,370,0,0.1285713,0,1.000955121,299,355,56
13,1390,48922,471,826,1261,631,630,2263.1,6.4,1.7,0.557153767,69,13.83,1203,8441381.422,35152,58,130,1471,0.0451737,0.51115779,0.08107941232,0.9174447348,370,416,46
14,1450,50142,78,97,3451,3344,107,7028.5,5.1,1.3,0.491035949,13,18.06,237,1887095.297,37121,61,147,1270,0.05108103,0.4413123,0.1040270679,0.8987372531,975,906,69
15,1170,102409,331,702,585,158,427,446.6,5.2,2.3,1.310041927,7,2.27,787,2346373.082,65534,108,2072,1701,0.71999928,0.59108049,0.5496001808,0.4511920404,0,0,0
16,1160,102537,94,199,1358,1240,118,1168.9,4.7,2.3,1.161837272,2,2.27,219,736261.394,65340,108,1644,1701,0.57127356,0.59108049,0.4916984278,0.508746366,1,10,9
17,1150,47331,506,702,787,69,718,970,4.6,1.7,0.811304785,133,31.37,1303,6273930.67,36262,60,819,1519,0.28459431,0.52783731,0.350785938,0.650602979,2,2,0
18,3000,41005,930,1308,1986,497,1489,2852.6,5.5,1.4,0.696243752,356,38.03,2558,14353813.99,30051,50,271,1731,0.09416979,0.60150519,0.135254054,0.863929031,213,153,60
19,1180,44840,362,386,685,145,540,852.1,0.8,1.4,0.803930418,74,27.11,909,4417371.819,37658,62,1131,1181,0.39301119,0.41038569,0.4888621965,0.5104741416,1,10,9
20,2130,102644,732,1332,910,162,748,640.7,2,1.8,1.420265587,121,16.78,1686,4642257.508,64524,107,2248,1846,0.78115752,0.64146654,0.5500080599,0.451652526,0,0,0
21,2740,104964,835,1587,2411,1148,1263,355.2,2.3,2,6.787939636,69,8.6,2231,1283648.253,64776,107,13784,5738,4.78980216,1.99389762,0.7056341713,0.2937412126,0,0,0
22,2520,83057,880,1354,2404,1466,938,1197.3,0.5,1.9,2.007874567,110,15.8,2173,4228105.682,76771,127,2468,3307,0.85760532,1.14914943,0.4271209637,0.5723213237,0,0,0
23,2090,75651,503,1001,2352,1868,484,2609,0.3,1.8,0.90151473,0,0,1109,4809173.988,59728,99,440,2154,0.1528956,0.74849346,0.16959856,0.8302620413,16,6,10
24,2160,83847,781,937,1334,399,935,1039.4,7.9,1.8,1.283396843,69,13.35,1912,5824785.168,55435,92,1318,2378,0.45799182,0.82633122,0.3568590826,0.6438625936,6,6,0
25,2120,73275,1359,1710,1494,681,813,1784.3,0.7,1.5,0.837347377,38,3.41,2636,12308845.59,53785,89,933,1472,0.32420817,0.51150528,0.387184792,0.6108638948,16,6,10
26,2080,73817,1220,1745,3402,2373,1029,3388.4,2.8,1.6,1.004013466,251,23.68,2465,9596721.091,57028,94,307,2584,0.10667943,0.89791416,0.1062529872,0.8943248178,319,88,231
27,2180,103309,727,1303,1132,35,1097,1312.6,1.2,2,0.862381314,0,0,2092,9482834.533,92032,152,693,1789,0.24081057,0.62165961,0.2792390861,0.7208639611,0,0,0
28,2170,85575,436,734,623,95,528,655.9,2.9,1.9,0.949788745,8,2.07,1151,4737842.791,70957,117,1573,1155,0.54660177,0.40135095,0.5754982599,0.4225686524,0,0,0
29,2200,120275,776,1522,2404,1237,1167,1632.2,0.8,2,1.472892956,19,2.45,1753,4650817.342,70713,117,1922,2316,0.66787578,0.80478684,0.453444887,0.5463987296,0,0,0
