GEOID,Label 1,Label 2
GEOID_4706500001530,124,1509
GEOID_4706500001540,7,1040
GEOID_4706500001350,930,2591
GEOID_4706500001510,1,568
GEOID_4706500001360,319,2560
GEOID_4706500000640,7476,3460
GEOID_4706500000130,734,1187
GEOID_4706500000370,106,1876
GEOID_4706500000870,1560,831
GEOID_4706500000920,68,1940
GEOID_4706500000490,0,728
GEOID_4706500000480,0,370
GEOID_4706500001390,130,1471
GEOID_4706500001450,147,1270
GEOID_4706500001170,2072,1701
GEOID_4706500001160,1644,1701
GEOID_4706500001150,819,1519
GEOID_4706500003000,271,1731
GEOID_4706500001180,1131,1181
GEOID_4706500002130,2248,1846
GEOID_4706500002740,13784,5738
GEOID_4706500002520,2468,3307
GEOID_4706500002090,440,2154
GEOID_4706500002160,1318,2378
GEOID_4706500002120,933,1472
GEOID_4706500002080,307,2584
GEOID_4706500002180,693,1789
GEOID_4706500002170,1573,1155
GEOID_4706500002200,1922,2316
GEOID_4706500002540,1624,1890
GEOID_4706500002560,602,1364
GEOID_4706500002530,452,1693
GEOID_4706500002220,11816,3316
GEOID_4706500000610,628,2306
GEOID_4706500000290,107,1791
GEOID_4706500002310,2483,2066
GEOID_4706500001930,613,3100
GEOID_4706500002110,1102,1992
GEOID_4706500002100,28,2571
GEOID_4706500001520,404,2342
GEOID_4706500001500,93,746
GEOID_4706500001480,122,1923
GEOID_4706500002000,1095,2208
GEOID_4706500002050,437,2305
GEOID_4706500002030,42,665
GEOID_4706500002020,28,948
GEOID_4706500002190,1408,2342
GEOID_4706500002060,54,904
GEOID_4706500001580,589,1163
GEOID_4706500001940,12219,3027
GEOID_4706500002320,789,1293
GEOID_4706500001910,2948,1676
GEOID_4706500000700,159,903
GEOID_4706500000790,373,2008
GEOID_4706500000800,607,1335
GEOID_4706500001300,0,884
GEOID_4706500001340,1546,1863
GEOID_4706500001310,0,629
GEOID_4706500001840,50,1619
GEOID_4706500001820,3317,1380
GEOID_4706500001880,45,1463
GEOID_4706500002500,1766,1862
GEOID_4706500001990,383,1380
GEOID_4706500002210,7814,8987
GEOID_4706500001980,41,1185
GEOID_4706500002350,6368,1279
GEOID_4706500002360,12707,2736
GEOID_4706500001850,809,2798
GEOID_4706500001830,3005,1404
GEOID_4706500001860,1031,1741
GEOID_4706500003010,4946,1553
GEOID_4706500001870,2342,2659
GEOID_4706500001090,8,1119
GEOID_4706500000450,0,402
GEOID_4706500001610,519,2257
GEOID_4706500001140,846,1064
GEOID_4706500002750,338,901
GEOID_4706500001120,352,1530
GEOID_4706500001890,5,1115
GEOID_4706500001490,460,2020
GEOID_4706500002070,0,1519
GEOID_4706500002140,1453,2875
GEOID_4706500002040,77,535
GEOID_4706500002010,660,3703
GEOID_4706500003040,358,1392
GEOID_4706500001550,95,1233
GEOID_4706500002550,2995,2038
GEOID_4706500000880,1161,788
GEOID_4706500000890,895,1949
GEOID_4706500000860,16241,9677
GEOID_4706500000950,330,2021
GEOID_4706500000910,57,982
GEOID_4706500000930,550,1159
GEOID_4706500000940,1106,1532
GEOID_4706500001020,64,1061
GEOID_4706500001050,131,693
GEOID_4706500000380,83,524
GEOID_4706500000730,1573,2093
GEOID_4706500001000,0,720
GEOID_4706500001010,50,1023
GEOID_4706500001040,351,1647
GEOID_4706500000820,18453,2588
GEOID_4706500000840,7706,1448
GEOID_4706500000830,1546,2373
GEOID_4706500000900,0,778
GEOID_4706500000960,733,1888
GEOID_4706500000360,0,628
GEOID_4706500000430,15,986
GEOID_4706500000140,1,668
GEOID_4706500001410,371,1920
GEOID_4706500001430,393,1273
GEOID_4706500001440,3029,4650
GEOID_4706500000590,47,2200
GEOID_4706500000510,43,1179
GEOID_4706500000150,0,253
GEOID_4706500000200,0,243
GEOID_4706500000190,0,340
GEOID_4706500000220,2,180
GEOID_4706500000100,108,94
GEOID_4706500000080,0,61
GEOID_4706500000050,0,62
GEOID_4706500000020,0,94
GEOID_4706500000160,4,108
GEOID_4706500000240,0,165
GEOID_4706500000170,0,210
GEOID_4706500000180,2,246
GEOID_4706500000670,11,1756
GEOID_4706500000680,853,1801
GEOID_4706500000420,357,1158
GEOID_4706500000410,121,185
GEOID_4706500000400,141,781
GEOID_4706500000650,699,1847
GEOID_4706500000310,6,300
GEOID_4706500000330,0,317
GEOID_4706500000210,1,202
GEOID_4706500000390,1,98
GEOID_4706500000110,239,218
GEOID_4706500000120,21,458
GEOID_4706500000090,0,118
GEOID_4706500000010,0,102
GEOID_4706500000040,0,69
GEOID_4706500000350,0,975
GEOID_4706500000600,395,1306
GEOID_4706500000560,359,797
GEOID_4706500000550,8,1013
GEOID_4706500000540,0,548
GEOID_4706500000340,0,386
GEOID_4706500000230,2,367
GEOID_4706500000070,126,284
GEOID_4706500000280,439,230
GEOID_4706500000270,3,57
GEOID_4706500000260,0,173
GEOID_4706500000250,0,148
GEOID_4706500000060,0,123
GEOID_4706500000030,2,100
GEOID_4706500000300,22,426
GEOID_4706500000530,84,1408
GEOID_4706500001070,134,839
GEOID_4706500001130,1456,1770
GEOID_4706500001650,146,1311
GEOID_4706500000470,19,1081
GEOID_4706500002990,0,1020
GEOID_4706500001030,0,427
GEOID_4706500000980,2,1263
GEOID_4706500000970,1,659
GEOID_4706500000460,11,1439
GEOID_4706500000780,268,1773
GEOID_4706500000770,615,2090
GEOID_4706500000760,2851,2133
GEOID_4706500000850,18452,3483
GEOID_4706500001920,6752,2398
GEOID_4706500001900,1208,2441
GEOID_4706500001620,0,700
GEOID_4706500001600,3584,1239
GEOID_4706500001590,2362,1400
GEOID_4706500001640,19,1960
GEOID_4706500000990,0,513
GEOID_4706500000520,0,636
GEOID_4706500000630,1418,2456
GEOID_4706500000570,1601,1665
GEOID_4706500001190,2112,1805
GEOID_4706500000580,25,2100
GEOID_4706500000440,0,764
GEOID_4706500000500,0,863
GEOID_4706500001660,80,1388
GEOID_4706500001630,66,2485
GEOID_4706500001700,5321,1373
